numenc;solicitacao
2110195134;0025071361386
2110195134;0025002351148
2110197137;             
2110198133;             
2110199130;             
2110200138;0025054271196
2110200138;0025145421204
2110201134;             
2110205130;             
2110207124;0025089711036
2110207124;0025008721222
2110210133;0026050681102
2110210133;0025106661186
2110211130;0025045951236
2110213132;             
2110215135;0025049601159
2110216131;             
2110217138;0025085791302
2110221135;             
2110222131;             
2110225130;9625016601197
2110225130;0025151311156
2110226137;0025138841244
2110227133;0025127311389
2110227133;0025129631100
2110228130;9625019271317
2110229136;             
2110230134;0025064071033
2110231130;             
2110233133;             
2110235136;             
2110236132;0025156811319
2110240130;0025000631356
2110241136;             
2110242132;             
2110248122;             
2110253134;0025137081211
2110253134;0025137831237
2110256133;0025024371133
2110258136;             
2110259132;             
2110263130;             
2110264136;             
2110265132;9625025521311
2110266139;             
2110267135;             
2110269138;0025141921296
2110269138;0026077171164
2110274131;0025177401357
2210153131;0026016411262
2210153131;8831004821302
2210190134;0025069401201
2210190134;0025074231106
2210190134;0025074621320
2210366100;0025089071037
2210366100;0025088691040
2210460107;0025107781029
2310001139;             
2310002135;             
2310003131;             
2310004138;             
2310005134;             
2310006130;             
2310007137;             
2310009130;             
2310010138;             
2310011134;             
2310012130;             
2310013137;             
2310014133;0025000211306
2310015130;             
2310016136;             
2310017132;             
2310018139;             
2310019135;             
2310020133;             
2310021130;             
2310022136;             
2310024139;9625001741303
2310028088;0025006731034
2310028088;0025004611066
2310028088;0025155570741
2310028088;0025167070889
2310028088;0025017591093
2310028088;0025040841106
2310028088;0025032880904
2310028134;             
2310029130;0025181041270
2310032131;0025181511250
2310032131;0025037161302
2310033138;             
2310034134;             
2310035130;             
2310037133;             
2310047082;0026012741071
2310047082;0025079321049
2310050091;             
2310057100;             
2310063096;             
2310070122;0025026211273
2310072125;             
2310078115;0025060841187
2310078115;0025185321022
2310079120;             
2310090093;0026002730778
2310092088;0025130300600
2310092088;0025118180781
2310099120;             
2310107123;             
2310108120;             
2310109126;             
2310114090;0025130620940
2310114090;0025101800960
2310115096;0025130620940
2310117129;0025137961289
2310117129;0225000111251
2310118079;0025122010747
2310118079;0025032451299
2310118079;0026004511291
2310118109;0025044851076
2310119075;0026004511291
2310119075;0025032451299
2310120103;0025042711234
2310120103;0025049841036
2310121070;0026004610605
2310123129;             
2310126128;             
2310127124;             
2310129127;             
2310131121;             
2310132128;0025031251237
2310132128;0025124661249
2310132128;0025124691237
2310134074;             
2310139122;             
2310140082;0025044180864
2310140120;0025097501274
2310147125;             
2310156124;             
2310159123;0025099481211
2310161098;0026006950950
2310162094;0026006950950
2310163090;0026006950950
2310164097;0026006950950
2310164127;0025102430988
2310164127;0025064161296
2310164127;9625017141203
2310164127;0025127681127
2310165093;0026006950950
2310165123;             
2310166090;0026006950950
2310167096;0026006950950
2310168092;0026006950950
2310168122;             
2310169099;0026006950950
2310169129;             
2310170097;0026006950950
2310170127;             
2310171123;             
2310175129;0025141041229
2310176087;0025012810714
2310177121;0025186851386
2310177121;0025170521233
2310177121;0025052871200
2310178128;0025097501274
2310181129;             
2310184128;             
2310185124;0025174461308
2310185124;0025071341270
2310186120;0025088261207
2310187119;0025160881083
2310187127;0025078751279
2310191108;0025012321004
2310192120;0025050111259
2310193097;0026006950950
2310194093;0026006950950
2310195120;             
2310196126;             
2310197122;             
2310198129;             
2310199125;             
2310200123;             
2310201120;             
2310202126;             
2310203122;             
2310207128;             
2310208124;             
2310210064;             
2310212083;0025053980894
2310216127;9625014451295
2310221120;             
2310223123;             
2310224120;9625014461258
2310225126;             
2310226122;9625017141203
2310226122;0025127681127
2310226122;0025064161296
2310226122;0025102430988
2310227129;             
2310228125;             
2310229091;             
2310230120;0025014131482
2310230120;0025156381128
2310230120;0025039151240
2310231126;             
2310232092;             
2310232122;             
2310233129;0025073561200
2310233129;0025099001295
2310233129;0025171091259
2310233129;0025164491271
2310233129;9625001761320
2310233129;0025037161302
2310233129;0025133401246
2310236098;0025097750908
2310236110;0025030761142
2310236110;0025036101101
2310236110;0025084631166
2310237124;             
2310238120;             
2310239127;0025120291234
2310240125;             
2310242101;             
2310243124;             
2310246107;0025089921006
2310250120;0225001971211
2310250120;0025125671256
2310259098;             
2310260126;             
2310261122;             
2310262129;             
2310263125;             
2310264121;0025054241289
2310265128;             
2310266086;             
2310266124;             
2310267120;             
2310268127;             
2310269123;             
2310270121;             
2310271128;             
2310273120;0025165281246
2310274127;             
2310277126;             
2310281123;0025124631250
2310282090;0025114670970
2310285129;             
2310286125;             
2310287121;             
2310289124;             
2310292125;             
2310293121;0025109901285
2310294128;             
2310296120;             
2310297127;             
2310298123;             
2310299120;             
2310300128;             
2310301124;             
2310302120;             
2310304123;0025094291244
2310308129;0025121510851
2310309125;             
2310310093;0725000400904
2310310093;0025032901081
2310310093;0025044171016
2310310093;0023010831011
2310312126;             
2310314129;             
2310315125;             
2310316121;             
2310317110;0025125361141
2310317110;0025127251114
2310320110;0025139441193
2310320110;0025139451156
2310320129;             
2310321125;             
2310322121;             
2310323128;             
2310325120;             
2310327123;0025108581309
2310328120;             
2310329126;             
2310331120;             
2310332127;             
2310333123;             
2310334120;             
2310335126;             
2310337129;             
2310338125;             
2310340120;             
2310342122;             
2310343129;0025145431269
2310344125;             
2310346128;0025062201355
2310346128;0025163101372
2310346128;0025166901264
2310347124;0025121991264
2310348120;             
2310349127;0025115221100
2310349127;0025122331209
2310349127;9625021661348
2310350125;0025162691290
2310350125;0025113971292
2310351121;             
2310353124;9625024701278
2310354120;             
2310355127;             
2310356123;             
2310357120;             
2310358126;             
2310359122;             
2310360120;             
2310363120;             
2310365122;             
2310367125;             
2310368121;             
2310370126;             
2310371122;             
2310374121;             
2310377120;             
2310378127;             
2310379123;             
2310380121;             
2310382124;             
2310383120;             
2310384127;             
2310385123;             
2310387126;             
2310391123;             
2310393126;             
2310394114;0025168671150
2310394122;             
2310395129;             
2310396125;9631006251350
2310397121;             
2310398128;             
2310399124;             
2310400114;             
2310400122;             
2310402125;             
2310403121;             
2310405116;0025117911103
2310405116;0025118601124
2310405124;             
2310406120;             
2310408123;0025181281239
2310409120;             
2310410128;             
2310411124;             
2310412120;             
2310413127;             
2310414123;             
2310416126;0025141181233
2310418129;0025165981221
2310422126;             
2310423068;0025127730608
2310423068;0025176210809
2310423068;0225000210667
2310437115;0025173501160
2310483079;0026004511291
2310483079;0025057461093
2310483079;0025032451299
2410033130;0026012901290
2410033130;0025150371350
2410449123;0025133251252
2410469124;0025034511280
2910004058;0025133431153
2910004058;0026007400903
2910005062;0000064400450
2910005062;0025103211295
2910005062;0025081541050
2910005062;0025058600844
2910007090;0225000020965
2910007090;0026003630920
2910008100;             
2910008134;0025005221300
2910008134;0025144761273
2910009106;             
2910011100;0025168240842
2910011100;0025113420903
2910018121;             
2910019128;             
2910024105;0025188110952
2910027120;0025149280958
2910027120;9625003451124
2910027120;9625014841247
2910027120;0025118491191
2910029093;0025128351112
2910029093;0025107710946
2910029093;0025048000968
2910029093;0025104020728
2910029093;0025176760973
2910029093;0025011961204
2910030059;0025218361095
2910030059;0025157731173
2910030059;0025139100957
2910030059;0225000440905
2910030059;0225000450978
2910030059;0225001781196
2910034046;0025128690758
2910034046;0025129450904
2910034046;0025114541224
2910034046;0025061431144
2910034046;0025054941183
2910034046;0025056791006
2910034046;0025161441133
2910034046;0025171591227
2910034046;0025191181059
2910034046;0025178051309
2910034046;0025071131380
2910034046;0000028980395
2910034046;0000033090025
2910035093;0025012540822
2910035093;0025073220984
2910035093;0025210510989
2910035093;0025191660968
2910035093;0025167800879
2910035093;0025159441083
2910035093;0025098500751
2910035093;0025040890905
2910035093;0025041910810
2910035093;0025124860870
2910035093;0025129831100
2910035093;0025134881136
2910035093;0025138031161
2910037096;0228000500960
2910037126;9625002261216
2910038041;0000008610495
2910038041;0000070650276
2910038041;0000055900275
2910038092;0025014001198
2910038092;0025015941348
2910038092;0025094251021
2910038092;0025103390874
2910038092;0025180841001
2910038092;0225000270805
2910038092;9625009301205
2910038092;0025144081302
2910038092;0025122180901
2910038122;9625011401319
2910038122;9631003741241
2910038122;0025156981079
2910038122;0025071140967
2910039099;0028010920884
2910040046;0025147401340
2910040046;0025042111393
2910040046;0025056741327
2910040046;0025053701332
2910040046;0025093471281
2910040046;0025099631396
2910040046;0025211171029
2910040046;0025175241220
2910040046;0025001101253
2910040046;0000047970359
2910043126;0025063771236
2910043126;0025056421250
2910043126;9631006911202
2910043126;9625009121223
2910043126;9625008811200
2910043126;9625008881240
2910046060;             
2910046095;             
2910046125;9625013081303
2910046125;0025041801280
2910046125;0025020591350
2910046125;0025155781289
2910052125;0025164491271
2910052125;0025030161200
2910052125;0025037161302
2910052125;9625001761320
2910061094;             
2910062066;             
2910063097;0025020351049
2910063097;0025097031022
2910063097;0025037000988
2910065090;0025229461029
2910065090;0025014471070
2910065090;0025176800940
2910065090;0025168961078
2910065090;0025196381099
2910065090;0025158341085
2910065090;0025092441168
2910065090;0025070761275
2910065090;0025030851133
2910065090;0025140270984
2910065090;0025149140943
2910065090;0025133771094
2910069044;0025130190678
2910069044;0025127570805
2910069044;0028013250740
2910069044;0025140111088
2910069044;0225001701184
2910069044;0028015571292
2910069044;0028017740733
2910069044;9625011181360
2910069044;0025069801137
2910069044;0025093560624
2910069044;0025088871293
2910069044;0025094601375
2910069044;0025097831304
2910069044;0025220321003
2910069044;0025172871045
2910069044;0002001190360
2910073050;0000047510358
2910073050;9625021931230
2910073050;9225000880838
2910073050;0025138991130
2910073050;0025129030875
2910073050;0025118571110
2910073050;0025017301192
2910076059;0025146631130
2910076059;0000032480202
2910076059;0025095020937
2910076067;             
2910076121;             
2910077063;             
2910088049;0000027030334
2910088049;0000005079977
2910088049;0000011360542
2910088049;0000060700513
2910088049;0009079110566
2910088049;0025074110740
2910088049;0025141660719
2910088049;0028002170731
2910088049;0025047420700
2910088049;0025045780750
2910089045;0028002170731
2910089045;0025173201108
2910089045;0009079110566
2910089045;0000005079977
2910089045;0000011360542
2910089045;0000027030334
2910089045;0000060700513
2910089045;0025035091340
2910089045;0025045780750
2910089045;0025047420700
2910089045;0025074110740
2910089045;0025120071030
2910089045;0025123090965
2910089045;0025144610658
2910089045;0025141660719
2910089045;0025168451037
2910092046;0000050490400
2910092046;0025109151260
2910096041;0000051630567
2910096041;0002000710506
2910096041;0000065050584
2910096041;0025009940661
2910096041;0025086860774
2910096050;0025088190695
2910096050;0000026120119
2910096084;0025013721316
2910096084;0025080340965
2910096084;0025155891033
2910096084;0025151731287
2910096084;0025030161382
2910096084;0025044490898
2910096084;0025117480889
2910096084;9625009681105
2910098109;9625000751151
2910098109;0025169431056
2910098109;0025177761051
2910098109;0025186561205
2910098109;0025187971067
2910098109;0025190381011
2910098109;0025155620862
2910098109;0025133011022
2910098109;0025115431333
2910098109;0025099331082
2910098109;0025079881001
2910098109;0025077651009
2910098109;0025065021064
2910098109;0025065351102
2910098109;0025044391059
2910098109;0025053571021
2910098109;0025042390926
2910098109;0025014791229
2910098109;0025016231182
2910099067;             
2910100081;0025009050801
2910100081;0025154190970
2910100081;0025165351040
2910100081;0025074730706
2910103102;0025033370900
2910104060;0220025360560
2910104060;0220025370523
2910106063;             
2910107043;0000067200214
2910107043;0225001801138
2910108058;0220012410521
2910108066;             
2910114090;             
2910116093;             
2910119092;             
2910120090;             
2910121100;0026003481070
2910123049;0025097880860
2910123049;0025049241195
2910130045;0000040900550
2910130045;0000046540563
2910134040;             
2910135047;             
2910135063;0025106970723
2910135063;0025034831005
2910135063;0025028190915
2910135063;0025125560934
2910135063;0000069720479
2910135063;0025234711089
2910135063;0025071210922
2910136043;             
2910137040;             
2910138046;             
2910138054;0025135101002
2910138062;0025009240767
2910138062;0025067071077
2910138062;0025113871077
2910138062;0025061240632
2910138062;0025053220822
2910138097;             
2910139042;             
2910139093;             
2910140040;             
2910147061;             
2910149056;0025107480924
2910149056;0025114200664
2910149056;0000013530208
2910149056;0025105200835
2910150062;0028014150650
2910153053;0025104031177
2910153053;0000048680214
2910153053;0025002520861
2910191087;0225000870837
2910191087;0025166210865
2910199100;0000070790280
2910199100;0000011379995
2910199100;0025153901295
2910199100;0025160011267
2910199100;0025213771040
2910199100;0025088701100
2910199100;0025092041305
2910199100;0026015971191
2910199100;0025138571352
2910199100;0025052971000
2910199100;0025052831178
2910199100;0025049741163
2910199100;0025052571168
2910199100;0025021851142
2910201104;0025034741103
2910201104;0025034291140
2910201104;0028007671208
2910201104;0025117581138
2910201104;0025089911205
2910201104;0000005079977
2910201104;0000027030334
2910201104;0025014681121
2910203107;             
2910217108;0025062741031
2910217108;0025168090778
2910217108;0025162301254
2910217108;0225000921091
2910218104;0025030081001
2910218104;0025052521225
2910218104;0025154871144
2910218104;0025090231018
2910218104;0025092991230
2910218104;0025013091460
2910220087;             
2910228053;0000064800555
2910232107;0025058900643
2910232107;0025136311027
2910242102;0026026181014
2910242102;0025066671054
2910243052;0220005770496
2910251055;0025079241010
2910251055;0000041249950
2910251055;0025000061070
2910263053;0025011980772
2910263053;0000019910193
2910263053;0025066711102
2910263053;0025194941070
2910263053;0025127881215
2910263053;0025052401327
2910263053;0025047581380
2910263053;0025039000705
2910365115;             
3110044137;0025092691350
3110049139;0025059131376
3110052130;9625006301190
3210046131;9631001161337
3210046131;0025151761275
3210070130;0025134071304
3210096139;0025040501275
3510023137;0025013271361
3510038096;0025013880970
3510073126;0025055441230
3510084063;0025071230605
3510093097;0025021490964
3510126106;0025087511030
3510152123;0025088271261
3510169085;0025104930864
3510180070;0025150290945
3510180070;0025103310609
3510180070;0025032751098
3510183096;0025110320908
3510201108;0025151361099
3510201108;0025151371051
3510202090;0025008160956
3510205120;0025049061294
3510244109;0025171331071
3510256107;0025100591062
3510293100;0025192691034
3510360095;0025137480850
3610015047;0000044000383
3610015047;9631002691348
3610028041;0000025570374
3610028041;0009018410489
3610038128;0025211460993
3610039124;0025210360995
3610039124;0025100021045
3610064099;0025070190936
3610064099;0025068370949
3610067063;0025074810645
3610067063;0025098260696
3610067063;0025049030658
3610067098;0025028730880
3610068116;0025062121165
3610081120;0025051021121
3610090090;0025044770904
3610094125;0025055291166
3610095121;0025148231104
3610101121;0025025571276
3610111127;0026010011270
3610127112;0025047781044
3610127112;0025085131132
3610138106;0025175501079
3610143061;0025166990771
3610143061;0025069890644
3610143061;0025011481008
3610143061;0025025830719
3610159111;0025070441106
3610168110;0025043471113
3610168110;0026010481153
3610188049;0320032810426
3610192062;0000015820386
3610197129;0025028661209
3710010098;0025141430802
3710018099;             
3710020093;             
3710038103;             
3710040094;             
3710043115;             
3710061091;             
3710067081;0025141610703
3710081114;             
3710086060;             
3710119081;0025061650881
3710120080;             
3710145074;0325000760720
3710161070;             
3710166047;             
3710192072;0326000420725
3710198062;             
3710224047;0320031430492
3710230071;             
3710251079;             
3710350115;             
3810014095;0025007860997
3810014095;9631004050978
3810024104;0025013291044
3810026085;0025079390601
3810026085;0025094120601
3810026085;0025124650638
3810027081;             
3810032085;             
3810043109;0025146930986
3810043109;0025025231092
3810046094;0025018470834
3810047090;0025077340941
3810048097;0025083480903
3810054089;0326000520789
3810058084;             
3810085090;             
3810087092;             
3810120081;             
3910146066;0025054830780
3910146066;0025076380796
3910146066;0000027340449
3910146066;0000039230104
3910147062;0325001360679
3910147062;0000027340449
3910147062;0000031570160
3910147062;0025091560716
3910160069;0025003910787
3910160069;0000025900005
3910160069;0000010200487
3910160069;0025160680690
3910160069;0025142000755
3910221068;             
3910426115;             
3910439110;0025184291154
4110001145;             
4110002141;             
4110003148;             
4110004136;0025109131234
4110004144;             
4110005132;             
4110005140;             
4110006147;             
4110008140;             
4110009138;             
4110011140;0025085951288
4110011140;0025050251344
4110014140;0025070111149
4110015146;0025169371134
4110016142;0025003371118
4110017149;0025178261109
4110018145;0025181211370
4110018145;9625000451433
4110019141;             
4110022142;             
4110023149;             
4110024145;             
4110026130;0025052891154
4110026148;             
4110027144;             
4110038138;             
4110138132;             
4110151139;0025002561037
4110153131;             
4110158133;             
4110159130;             
4110167132;0025087841331
4110167132;0025223821015
4110169135;0025041711109
4110171130;0025182741209
4110171130;0025104631107
4110172136;             
4110175135;             
4110176131;0025029641210
4110177138;0025063001392
4110178134;             
4110182131;0025061691308
4110182131;0025158641208
4110186137;0025171421143
4110187133;0025025671300
4110187133;9625007281355
4110188130;0025144901385
4110189136;             
4110190134;             
4110192137;0025061271198
4110193133;             
4110195136;             
4110196132;0025155811102
4110196132;0025044051380
4110196132;0025148781368
4110197139;0025148781368
4110197139;0025044051380
4110197139;0025155811102
4110198135;9625021571357
4110199131;9625018271100
4110200130;9625018261148
4110201136;0025152061315
4110201136;0025152471300
4110203139;0025169641298
4110203139;0025182501151
4110203139;0025005601200
4110203139;0025041911388
4110203139;0025110831325
4110205131;9625010831204
4110206138;0025131911379
4110206138;0025131921331
4110209137;0025091131351
4110211131;0025132891371
4110213134;             
4110215137;0025059741280
4110215137;0025057161294
4110216133;0025057161294
4110216133;0025059741280
4210011134;0025106831367
4210016136;             
4210018139;             
4210019135;             
4210020133;             
4210021130;             
4210023132;             
4210028134;0025092911229
4210059137;             
4210082139;0025081371112
4210082139;0025187181090
4210082139;0025168691003
4210082139;0025150861365
4210082139;0025106031328
4210082139;0025002201090
4210082139;0025013140933
4210082139;9625007791205
4210082139;9625017771215
4210082139;1425000131329
4210082139;0025062161205
4210082139;0025128461058
4210082139;0025123941310
4210082139;0025119981303
4210082139;0025137901030
4210091138;9625000511193
4210098132;9625005671318
4210110132;9631006751248
4210116130;             
4210119130;9631005181340
4210147133;             
4210156132;0025071241305
4210165131;0025193040908
4310001149;0025004451433
4310004148;             
4310006132;0013000171206
4310008135;9625000031302
4310025137;0025052891154
4310034136;             
4310046134;0025163931219
4310046134;0025163961207
4310046134;0025066941299
4310069134;0025119771171
4310069134;0025022941340
4310077137;             
4310078133;0025149731127
4310082130;0025042881318
4310085130;0025046621302
4310085130;0025123011178
4310089062;0425000740603
4310089062;0009057730553
4310094139;             
4310095135;             
4310096131;             
4310097138;             
4310098134;             
4310099130;             
4310100139;             
4310132111;0025140501110
4310132111;0425000311168
4310136125;0025030121240
4310137121;0025024241272
4310137121;0025009011229
4310139124;0025168220906
4310148123;             
4310162126;9625006161240
4310169112;0025041041111
4310169112;0025124280873
4310169112;0025077241102
4310169112;0025089200880
4310196128;0025093131260
4310204112;             
4310207111;9625008321105
4310207111;0423000321196
4310208118;0423000321196
4310208118;9625008321105
4310209114;9625008321105
4310209114;0423000321196
4310209114;0025160680851
4310225128;9625004981135
4310242120;             
4310253121;0025110031205
4310287123;9625001361225
4310337112;             
4310368123;             
4310399118;0025063961108
4310422110;0025201840947
4310422110;0025146941163
4310445110;0025023991146
4310445110;9631004581159
4310445110;0025183140918
4310445110;0025084901139
4310447112;0025003281127
4410049119;             
4410051113;             
4410055062;0000047620536
4410055062;0000043020526
4410077074;             
4410131095;0026003560965
4410136097;             
4410137123;0425000461216
4410146050;0000021570558
4410184040;0009002630409
4410184040;0025025760672
4410195123;             
4410207121;             
4410210122;             
4410212109;0025126581048
4410212125;0023094561282
4410212125;0023048091201
4410241109;0025219461093
4510034105;             
4510036094;             
4510038097;             
4510040091;             
4510050070;             
4510077092;0025041580764
4510077092;0025048750967
4610006138;             
4610018136;             
4610025132;             
4610032120;0025086521139
4610032120;9631000361219
4610034123;9631000461272
4610034123;0025146761181
4610056100;0025051341118
4610056100;0025042620867
4610056100;0025164781350
4610059096;0025018770986
4610064111;0025127500947
4610072114;0025051541125
4610089122;0025077321211
4610099098;             
4610111098;0025137980828
4610111101;0025053540738
4610113090;0025028911167
4610113090;0425000540949
4610114127;0025133271105
4610114127;0025240481014
4610117100;0025071600984
4610117100;0025101140854
4610121115;             
4610138107;0025186791030
4610141124;             
4610143100;             
4610144123;0025093951143
4610147106;0025194800922
4610151111;             
4610168081;0025106080612
4610170124;0025163671209
4610189089;0025082600883
4910002073;0028016420611
4910005080;0025113290775
4910006060;0025031820622
4910006060;0025009200897
4910007105;0025159400999
4910007105;0025106630973
4910007105;0025119701203
4910007105;0025149180813
4910007105;0028007011020
4910017089;0031003321132
4910017089;0428001410650
4910017089;0025102540651
4910017089;0025093910625
4910019057;0000016160487
4910022058;             
4910022082;0420016840500
4910023054;             
4910025081;0428000200806
4910026088;0428000180856
4910026088;0025174760801
4910028080;0428000270847
4910032088;0428000050804
4910033106;             
4910036083;0025119610755
4910036083;0025000690875
4910036105;0832000121058
4910040102;0025117161007
4910040102;0025110951223
4910040102;0025016981009
4910040102;0025022261047
4910040102;0025022371063
4910040102;0025041261073
4910040102;0025036541004
4910040102;0025004351056
4910040102;0025234131082
4910040102;0025234601062
4910040102;0025167681250
4910040102;0025221691068
4910040102;0025104881120
4910041079;0025002350761
4910052100;0025001160772
4910052100;0025100581261
4910052100;0025121140663
4910052100;0025137731011
4910056050;0002000460550
4910056050;0002002790337
4910058079;0025000750797
4910058079;0025108501054
4910059059;0000075130467
4910059059;0025104571015
4910060073;             
4910067094;             
4910071091;0028007011020
4910071091;0028000620969
4910071091;0025028110903
4910071091;0025046921101
4910071091;0025104941041
4910073086;             
4910075100;0025080691083
4910076077;0425000570775
4910078100;0025147740986
4910078100;0025144781118
4910078100;0025065670623
4910079106;0025176390947
4910079106;0025059961050
4910080066;0428000960606
4910081070;0428000310733
4910081070;0025011750939
4910081070;0000072930462
4910084096;0025003600915
4910084096;0025075980935
4910084096;0025190601070
4910084096;0025027891090
4910086064;0025024360603
4910086064;0025102690971
4910086064;0025087800813
4910095055;0025087330752
4910095055;0000007630557
4910095055;0025020210909
4910095055;0025047840741
4910095055;0028020010783
4910100075;0025048331212
4910100075;0025045560717
4910100075;0025106980958
4910100075;0025055491254
4910100075;0025098530901
4910100075;0025156951080
4910100075;0025161860969
4910101055;0420026900379
4910101098;0025109351005
4910101098;0025048781250
4910101098;0025139361084
4910101098;0025152221029
4910101098;0025155540753
4910101098;0025087720976
4910101098;0025064981170
4910102060;0025048440690
4910106057;0025237321060
4910106057;0009023820479
4910106057;0025015971093
4910106057;0025085061177
4910106057;0025094080626
4910106057;0025092871090
4910106057;0025068471036
4910106057;0025157130927
4910106057;0025194110900
4910106057;0025170841068
4910106057;0025138411150
4910106057;0025115831196
4910106057;0025028061198
4910106057;0025033631215
4910106057;0025033831222
4910106057;0428000630991
4910107096;9625027681260
4910107096;0025108330900
4910107096;0025133141074
4910107096;0025134670941
4910107096;0025129530924
4910107096;0028013931186
4910107096;0028001770980
4910107096;0028000600933
4910107096;0028000041349
4910107096;0025163930913
4910107096;0025202150979
4910107096;0025101011027
4910107096;0025068941288
4910107096;0025078501167
4910107096;0025015471104
4910107096;0023047720809
4910107096;0025235801014
4910108050;             
4910109056;             
4910109072;0428000730783
4910110062;0025079960726
4910110062;0428001270620
4910110062;0028000290802
4910110062;0028000831072
4910110062;0028001111006
4910110062;0028012331290
4910110062;0028009201144
4910110062;0025138410936
4910110062;0025123151182
4910112057;             
4910112065;             
4910112073;0025066630706
4910112073;0025097450939
4910113053;             
4910114050;             
4910114076;0428001280773
4910115056;             
4910116052;             
4910117075;             
4910118055;             
4910118071;             
