id_fornecedor;id_categoria
822;7
822;8
822;13
822;16
822;193
854;13
854;36
878;8
878;16
878;36
878;193
939;36
1181;7
1181;8
1181;36
1181;193
1326;7
1326;8
1326;193
1458;7
1458;8
1458;16
1458;36
1458;193
1509;7
1509;8
1509;16
1509;36
1509;193
1665;16
1665;36
1753;7
1753;8
1753;193
3271;7
3271;8
3271;16
3271;193
3601;36
3629;7
3629;8
3629;16
3629;193
3635;8
3635;193
