numenc;descricao
2110093137;HORIZ.SIST.VIARIO SECUNDARIO
2110093137;PAIRE ESCOLA
2110096136;SINALIZAÇAO DE ADVERTENCIA
2110097132;REGULAMENTA VELOCIDADE
2110098139;REGULAMENTA PREFERENCIAL
2110098139;SINALIZAÇAO DE ADVERTENCIA
2110098139;PROJETO DE SEGURANÇA
2110099135;REGULAMENTA ESTACIONAMENTO
2110099135;HORIZ.SIST.VIARIO SECUNDARIO
2110099135;PROJETO DE SEGURANÇA
2110099135;DISPOSITIVOS AUXILIARES
2110103132;PROJETO DE SEGURANÇA - PEDESTRE
2110103132;DISPOSITIVOS AUXILIARES
2110114134;REGULAMENTA ESTACIONAMENTO
2110114134;SINALIZAÇAO DE ADVERTENCIA
2110114134;PAIRE ESCOLA
2110116137;SINALIZAÇAO DE ADVERTENCIA
2110117133;SINALIZAÇAO DE ADVERTENCIA
2110121130;REGULAMENTA ESTACIONAMENTO
2110121130;HORIZ.SIST.VIARIO SECUNDARIO
2110121130;PAIRE ESCOLA
2110124130;HORIZ.SIST.VIARIO SECUNDARIO
2110124130;PROJETO DE SEGURANÇA
2110124130;DISPOSITIVOS AUXILIARES
2110125136;REGULAMENTA ESTACIONAMENTO
2110125136;SINALIZAÇAO DE ADVERTENCIA
2110125136;HORIZ.SIST.VIARIO SECUNDARIO
2110125136;PROJETO DE SEGURANÇA
2110126132;REGULAMENTA/ALTERA CIRCULACAO
2110127139;REGULAMENTA ESTACIONAMENTO
2110128135;REGULAMENTA ESTACIONAMENTO
2110129131;REGULAMENTA ESTACIONAMENTO
2110130130;SINALIZAÇAO DE ADVERTENCIA
2110131136;SINALIZAÇAO DE ADVERTENCIA
2110132132;REGULAMENTA ESTACIONAMENTO
2110132132;PAIRE ONIBUS
2110133139;REGULAMENTA ESTACIONAMENTO
2110133139;HORIZ.SIST.VIARIO SECUNDARIO
2110133139;PAIRE ESCOLA
2110134135;REGULAMENTA/ALTERA CIRCULACAO
2110135131;REGULAMENTA ESTACIONAMENTO
2110136138;SINALIZAÇAO DE ADVERTENCIA
2110137134;HORIZ.SIST.VIARIO SECUNDARIO
2110138130;REGULAMENTA PREFERENCIAL
2110139137;REGULAMENTA VELOCIDADE
2110145137;REGULAMENTA/ALTERA CIRCULACAO
2110147130;HORIZ.SIST.VIARIO SECUNDARIO
2110148136;REGULAMENTA ESTACIONAMENTO
2110149132;SINALIZAÇAO DE ADVERTENCIA
2110151137;REGULAMENTA/ALTERA CIRCULACAO
2110152133;REGULAMENTA PREFERENCIAL
2110153130;REGULAMENTA ESTACIONAMENTO
2110153130;SINALIZAÇAO DE ADVERTENCIA
2110155132;REGULAMENTA ESTACIONAMENTO
2110156139;SINALIZAÇAO DE ADVERTENCIA
2110157135;REGULAMENTA ESTACIONAMENTO
2110158131;SINALIZAÇAO DE ADVERTENCIA
2110159120;SINALIZAÇAO DE ORIENTACAO
2110159138;REGULAMENTA ESTACIONAMENTO
2110160128;PAIRE ESCOLA
2110161132;REGULAMENTA ESTACIONAMENTO
2110161132;SINALIZAÇAO DE ADVERTENCIA
2110161132;HORIZ.SIST.VIARIO SECUNDARIO
2110161132;REGULAMENTA VELOCIDADE
