numenc;local
2110077131;R   FELIX GUILHEM  ENTRE  R TTE LANDI E  R BELCHIOR CARNEIRO
2110077131;R   BELCHIOR CARNEIRO  X  R FELIX GUILHEM
2110085134;AV   PAULA FERREIRA  X  AV CRISTO REI
2110087137;R   JOAQUIM OLIVEIRA FREITAS  - N.95
2110088133;R DR  FREDERICO STEIDEL  ENTRE  AV S JOAO E  LG DO AROUCHE
2110089130;AV   PAULA FERREIRA  - N.2889
2110090138;R DR  FREDERICO STEIDEL  X  AV S JOAO
2110091134;AV   ALEXANDRE COLARES  - N.1
2110093137;R DR  ALBUQUERQUE LINS  X  R VITORINO CARMILO - ESCOLA ESTADUAL CONS. ANTONIOP PRADO
2110096136;R   TONELERO  X  R MOTA PAIS
2110097132;R   DONATO  - N.120 - AV PAULA FERREIRA
2110098139;AV   MUTINGA  X  R WILLIAM FURNEAU
2110099135;R   LUIS ELIAS ATTIE  X  R BRIG HENRIQUE FONTENELLE
2110103132;AV DR  SYLVIO DE CAMPOS  X  PC LUIS NERI
2110107138;AV GAL  EDGAR FACO  X  R DR HEITOR NASCIMENTO
2110113138;AV GAL  EDGAR FACO  - N.1655 - R DIOGO GONCALVES
2110114134;R   CARLOS WEBER  - N.835 - SESI
2110116137;R DR  JOAO B. DE BERNARDES LIMA  - N.285 - R MARCOS FRANKENTHAL
2110117133;R DOM  PEDRO HENRIQUE DE O.E BRAGANCA  X  R MANOEL MONTEIRO DE ARAUJO
2110121130;R PRES  ANTONIO CANDIDO  - N.242 - R.SALES JUNIOR
2110124130;AV IMP  LEOPOLDINA  X  R SCHILLING
2110125136;R   FRAGARIA ROSEA  ENTRE  AV MENOTTI LAUDISIO E  AV RAIMUNDO PEREIRA DE MAGALHAES
2110126132;R   TAGIPURU  X  R DONA GERMAINE BURCHARD
2110127139;R   CRASSO  X  R CORIOLANO
2110128135;AV   MENOTTI LAUDISIO  X  AV RAIMUNDO PEREIRA DE MAGALHAES
2110129131;R   TAGIPURU  - N.795
2110130130;R   FAUSTOLO  X  R CRASSO - N.376
2110131136;R   SCHILLING  X  R LAURO MULLER
2110132132;R   GUAIANASES  ENTRE  AL GLETE E  R HELVETIA - TERMINAL PRINCESA ISABEL
2110133139;R DONA  GERMAINE BURCHARD  - N.197 - ESCOLA
2110134135;R   BELMONTE  - N.957 - PCA OSMAR BUENO DE CARVALHO
2110135131;R GAL  ALEXANDRE LIMA  - N.1
2110135131;R   MARIA JOSE VASCONCELLOS MANKEL  - N.121
2110135131;PC COMEN  SOUSA CRUZ  X  R GAL ALEXANDRE LIMA - N.1
2110136138;R   TEODORO RODRIGUES  - N.257 - ESTRADA DE TAIPAS
2110137134;AV   GUILHERME MANKEL  - N.215
2110138130;R DR  FRANCISCO URSAIA  X  R DR FRANCISCO URSAIA
2110139137;AV CON  JOSE SALOMON  - N.360
2110145137;R DR  TEODOLINDO CASTIGLIONE  X  AV CABO ADAO PEREIRA
2110147130;R   TRAIPU  - N.288
2110148136;R   TAGIPURU  X  R MARTA - LGO. PDE. PERICLES
2110149132;R   BAUMANN  X  AV QUEIROZ FILHO - N.1484
2110151137;AV DR  GASTAO VIDIGAL  X  R SILVA AIROSA
2110152133;VEL PRES  ARTHUR DA COSTA E SILVA  X  AV ANGELICA
2110152133;VEL PRES  ARTHUR DA COSTA E SILVA  X  PC MAL DEODORO
2110153130;R   GUAIPA  ENTRE  R MONS DOMINGOS CASARIN E  ES VILA JAGUARA
2110155132;R   BELA ALIANCA  X  R GUAIPA
2110156139;R   BELMONTE  X  R ALIADOS
2110156139;R   BELMONTE  X  R DALTON
2110157135;AV   MIGUEL DE CASTRO  - N.116
2110157135;AV   MIGUEL DE CASTRO  X  R CRACAS - N.116
2110158131;AV   BENEDITO ANDRADE  X  R CONSTANTINO NERI
2110159120;PC   MARREY JUNIOR  X  AV ANTARTICA
2110159138;R   JOAO TIBIRICA  X  R BOTOCUDOS
2110160128;R BRIG  XAVIER DE BRITO  X  R PDE VENANCIO DE RESENDE - N.577 - CRECHE MARANATA
2110161132;R   HAMILTON DE ARAUJO  X  R CLOVIS CAVALCANTI
2110164131;R   ROBERTO DE LAMENAIS  X  R JOAQUIM OLIVEIRA FREITAS
2110164131;R   ROBERTO DE LAMENAIS  - N.390
2110165138;R   ROBERTO DE LAMENAIS  X  R JOSE ATALIBA ORTIZ
2110166134;R CEL  JOSE VENANCIO DIAS  - N.78
2110167130;R DR  AVELINO CHAVES  X  R BAUMANN
2110169133;PC DR  JOSE GETULIO DE LIMA  X  R ALIANCA LIBERAL
2110169133;PC DR  JOSE GETULIO DE LIMA  X  R PASSO DA PATRIA
2110169133;R   BELA NAPOLES  X  PC DR JOSE GETULIO DE LIMA
2110170131;R   AGARUM  X  R AMBROSIA DO MEXICO
2110172134;R CEL  JOSE VENANCIO DIAS  - N.78
2110176130;R DR  CANDIDO ESPINHEIRA  X  R CAP MESSIAS
2110177136;R   LUIS FILGUEIRA SOUTO  ENTRE  R WALTRUDES CORREA E  AV JOAQUIM DE MAGALHAES
2110189134;R   MIGUEL TELES  ENTRE  AV RAIMUNDO PEREIRA DE MAGALHAES E  R MANUEL DE CARVALHO
2110191139;AV   ERMANO MARCHETTI  X  AV JOSE MARIA DE FARIA
2110193131;R   FELIX GUILHEM  X  R BELCHIOR CARNEIRO
2110194138;R   IVAN CURVELO  X  R NANUQUE
2110195134;R   SETUBAL  ENTRE  R NANUQUE E  R CARLOS WEBER
2110197137;R   TURIACU  X  R MIN GODOI
2110198133;R   WILLIAM SPEERS  ENTRE  R ENG AUBERTIN E  R ENG FOX
2110199130;AV   RAIMUNDO PEREIRA DE MAGALHAES  - N.4991
2110200138;R CONS  CANDIDO DE OLIVEIRA  X  R FORTUNATO FERRAZ
2110201134;R PDE  NARCISO CASANOVA  X  R GUERINO GIOVANI LEARDINI
2110205130;R   MARTA  X  R MARGARIDA
2110207124;AV DR  FRANCISCO RANIERI  ENTRE  R ALBERTO SAVOY E  AV DIREITOS HUMANOS
2110210133;R PDE  NOGUEIRA LOPES  ENTRE  AV PAULA FERREIRA E  R PROF MARTAGAO
2110211130;R BR DA PASSAGEM  X  R ZIEMBINSKI - R. VISC. DE PELOTAS
2110213132;AL   RIBEIRO DA SILVA  - N.452
2110215135;R   INACIO LUIS DA COSTA  ENTRE  R ITAREMA E  R DOS RADIALISTAS
2110216131;R DR  HOMEM DE MELO  X  R CIRO COSTA
2110217138;R   INACIO LUIS DA COSTA  X  R BRIG HENRIQUE FONTENELLE
2110221135;R   TOME DE SOUZA  X  R BR DA PASSAGEM
2110222131;R   MONTE PASCAL  X  R BRIG GAVIAO PEIXOTO
2110225130;AV   CANDIDO PORTINARI  ENTRE  AV MUTINGA E  R CANTO DO MANGUE - N.1300 - GARAGEM VIAÇÃO GATO PRETO E TRANSPORTADORA SCHIO
2110226137;R   CONSTANTINO NERI  X  R MAEST JOAO PORTARO - R. PE C. ARAUJO
2110227133;R CONS  RIBAS  - N.490 - FARMÁCIA
2110227133;R CONS  RIBAS  - N.508 - PONTO DE TAXI
2110228130;AV   MOFARREJ  - N.154
2110228130;AV   MOFARREJ  ENTRE  AV IMP LEOPOLDINA E  AV DR GASTAO VIDIGAL
2110229136;AV GAL  EDGAR FACO  X  AV MIN PETRONIO PORTELA
2110230134;R   SALVADOR CARUSO  X  TV PDE WALTER SCHEWIORA - FEIRA LIVRE
2110231130;R BR DA PASSAGEM  X  R TOME DE SOUZA
2110231130;R BR DA PASSAGEM  ENTRE  R TOME DE SOUZA E  R BRIG GAVIAO PEIXOTO
2110233133;R BRIG  GAVIAO PEIXOTO  X  R LAURINDO DE BRITO
2110235136;AV   FRANCISCO MATARAZZO  X  AV DR ADOLPHO PINTO - R. LINCOLN ALBUQUERQUE
