Estação n°;Nome;Endereço;Bairro;Inauguração;BU
90;Luisiânia;Rua Luisiânia, em frente ao nº 260 / Esquina com a Rua Nova York;Cidades Monções;09/01/13;não
91;Arizona;Rua Arizona, lateral do nº 1335 / Esquina com a Rua Califórnia;Cidades Monções;07/12/12;não
92;Açaí Clube;Rua Pe. Antônio José dos Santos, oposto ao nº 859 / Esquina com a Rua Ribeiro do Vale;Cidades Monções;16/12/12;não
93;Ribeiro do Vale;Rua Ribeiro do Vale, em frente ao nº 1460 / Esquina com a Rua Texas;Brooklin Novo;23/12/12;não
94;Bandeirantes;Rua Conceição de Monte Alegre, em frente ao nº 1661 / Esquina com a Rua Brejo Alegre;Brooklin Novo;16/11/12;não
95;Procópio Ferreira;Rua Rosa Gaeta Lazará, lateral da Praça Procópio Ferreira / Esquina com a Rua Kansas;Brooklin Novo;16/12/12;não
96;Hípica Paulista;Rua Quintana, oposto ao nº 198 / Esquina com a Rua Porto Martins;Brooklin Novo;07/12/12;não
97;Lions Monções;Rua Flórida, em frente ao nº 1442 / Esquina com a Rua Arandu;Itaim Bibi;07/12/12;não
98;James Watt;Rua James Watt, lateral do nº 65 / Esquina com a Avenida Eng. Luis Carlos Berrini;Jardim Edith;07/12/12;não
99;Berrini;Rua Guilherme Barbosa de Melo, lateral do nº 237 / Esquina com a Rua Sansão Alves dos Santos;Itaim Bibi;16/12/12;não
100;Guararapes;Praça Gal. Enéias Martins Nogueira, oposto a lateral do nº 2064 / Esquina com a Rua Guararapes;Itaim Bibi;04/01/13;não
103;CPTM Cidade Universitária;Rua Umburanas, em frente ao número 78 / Esquina com a Rua Pedroso de Moraes;Alto de Pinheiros;31/08/13;sim
104;Pedroso de Moraes;Pça Ernani Braga entre Rua Pedroso de Morais e Rua Evangelista Rodrigues;Alto de Pinheiros;30/08/13;não
105;Tomie Ohtake;Rua Fernão Dias, em frente ao número 53 / Esquina com Avenida Brig. Faria Lima;Pinheiros;16/0/2013;sim
107;Metrô Fradique;Rua Mateus Grou, em frente ao número 57 / Esquina com a Rua dos Pinheiros;Pinheiros;03/10/13;sim
108;Simão Alvares;Rua Simão Álvares, em frente ao número 770;Pinheiros;15/08/13;sim
109;Morás;Rua Morás oposto ao n. 506;Pinheiros;15/08/13;sim
110;Metrô Vila Madalena;Rua Paulistânia, em frente ao número 432 / Esquina com a Rua Agissé;Pinheiros;06/09/13;sim
111;Wisard;Rua Wisard, em frente ao número 94;Pinheiros;13/09/13;sim
112;Cônego Eugênio Leite;Rua Cônego Eugênio Leite, em frente ao número 1161 / Esquina com a Rua Cardeal Arcoverde;Pinheiros;15/08/13;sim
113;João Moura;Rua João Moura, em frente ao número 1005 / Esquina com a Rua Cardeal Arcoverde;Pinheiros;15/08/13;sim
114;Metrô Sumaré;Rua Professor Rubião Meira, em frente ao número 31 / Esquina com a Rua Oscar Freire;Pinheiros;13/09/13;sim
115;Metrô Clínicas;Rua Arruda Alvim, em frente ao número 35;Bela Vista;23/10/13;sim
116;Lisboa;Rua Lisboa, 306/298/294;Jardim Paulista;06/09/13;sim
117;Capote Valente;Rua Capote Valente, em frente ao número 232 / Próximo a Avenida Rebouças;Jardim Paulista;03/10/13;sim
118;Augusta;Rua Luis Coelho, em frente ao número 117;Consolação;22/11/13;sim
120;Shopping Frei Caneca;Rua Herculano de Freitas, em frente ao número 47;Bela Vista;03/10/13;sim
122;MASP;Rua Carlos Comenale,37  (fr. Secr. Saúde);Bela Vista;24/10/13;não
123;Almirante Marques de Leao;Rua Alm. Marques Leão 336;Bela Vista;27/09/13;sim
124;Conselheiro Carrão;Rua Conselheiro Ramalho, em frente ao número 701 / Esquina com a Rua Conselheiro Carrão;Bela Vista;24/10/13;sim
125;Santa Madalena;Rua Doutor Alfredo Ellis, 198 (Estacionamento) / Esquina com a Rua Santa Madalena;Bela Vista;14/10/13;sim
126;Ribeirão Preto;Alameda Joaquim Eugênio de Lima, 180 / 182;Sé;18/09/13;sim
127;Metrô Paraiso;Rua Apeninos, em frente ao número 897/ 911;Vila Mariana;24/10/13;não
144;Cem. Consolação/Sergipe;Rua Itambé 435;Consolação;06/12/13;não
145;Praça Buenos Aires;Rua Bahia 160 ( Proximo a Rua Piaui);;06/12/13;sim
146;Estádio do Pacaembu;Rua Eng. Edgard Egidio de Souza entre Rua Alagoas e Rua Itatiara;Consolação;06/12/13;sim
147;Shopping Higienópolis;Rua Jaguaribe, 777;Santa Cecília;06/12/13;não
148;Al. Barros/Tupi;Rua Tupi 330/360;Santa Cecília;06/12/13;não
150;Metro Santa Cecília;Rua Frederico Abranches, frente 337/349 ( Bco Itaú);Santa Cecília;05/12/13;não
151;Santa Casa;Rua Dr. Cesário Mota Jr, 249;Consolação;09/12/13;não
156;Brig.Galvao/Fac. Oswaldo Cruz;Rua Conselheiro Brotero, 456;;jan/14;não
160;José Paulino;Rua José Paulino, 931;;jan/14;não
162;Metro Armênia;Rua Alfredo Maia, 534;;jan/14;não
163;Metro Tiradentes/Fatec;Rua Três Rios , 24;;jan/14;não
;;;;;
;;;;;
