MODALIDADE;LICENÇA;CADASTRO
ESCOLAR;420400;420400
ESCOLAR;421600;421600
ESCOLAR;424100;424100
ESCOLAR;424600;424600
ESCOLAR;425500;799300
ESCOLAR;426900;426900
ESCOLAR;427100;427100
ESCOLAR;427500;427500
ESCOLAR;427800;427800
ESCOLAR;428700;428700
ESCOLAR;431700;431700
ESCOLAR;433400;433400
ESCOLAR;434300;434300
ESCOLAR;435200;435200
ESCOLAR;435900;435900
ESCOLAR;436000;436000
ESCOLAR;436200;436200
ESCOLAR;436600;436600
ESCOLAR;436700;436700
ESCOLAR;437600;437600
ESCOLAR;439400;439400
ESCOLAR;439700;439700
ESCOLAR;439800;439800
ESCOLAR;441000;441000
ESCOLAR;442000;442000
ESCOLAR;442700;442700
ESCOLAR;444200;444200
ESCOLAR;444600;444600
ESCOLAR;448300;448300
ESCOLAR;449000;449000
ESCOLAR;449100;449100
ESCOLAR;449600;449600
ESCOLAR;449900;449900
ESCOLAR;450000;450000
ESCOLAR;450500;450500
ESCOLAR;450600;450600
ESCOLAR;450800;450800
ESCOLAR;450900;450900
ESCOLAR;451100;451100
ESCOLAR;451400;451400
ESCOLAR;451500;451500
ESCOLAR;451600;451600
ESCOLAR;451700;451700
ESCOLAR;452000;452000
ESCOLAR;452100;452100
ESCOLAR;452500;452500
ESCOLAR;452600;690100
ESCOLAR;452700;452700
ESCOLAR;453300;453300
ESCOLAR;454000;454000
ESCOLAR;454100;454100
ESCOLAR;454200;454200
ESCOLAR;454300;454300
ESCOLAR;454500;454500
ESCOLAR;454800;454800
ESCOLAR;455200;455200
ESCOLAR;455500;455500
ESCOLAR;455600;455600
ESCOLAR;455900;455900
ESCOLAR;456100;456100
ESCOLAR;456700;456700
ESCOLAR;457900;457900
ESCOLAR;458000;458000
ESCOLAR;458900;458900
ESCOLAR;459100;459100
ESCOLAR;459500;459500
ESCOLAR;459700;459700
ESCOLAR;459800;459800
ESCOLAR;459900;459900
ESCOLAR;460300;460300
ESCOLAR;461400;461400
ESCOLAR;462000;462000
ESCOLAR;462400;462400
ESCOLAR;462500;462500
ESCOLAR;463200;463200
ESCOLAR;463700;463700
ESCOLAR;463900;463900
ESCOLAR;464100;464100
ESCOLAR;464300;464300
ESCOLAR;465100;465100
ESCOLAR;465700;465700
ESCOLAR;466100;828600
ESCOLAR;467100;467100
ESCOLAR;467200;467200
ESCOLAR;467400;467400
ESCOLAR;467600;467600
ESCOLAR;468100;468100
ESCOLAR;468600;468600
ESCOLAR;468800;468800
ESCOLAR;468900;468900
ESCOLAR;469300;469300
ESCOLAR;469900;469900
ESCOLAR;470200;470200
ESCOLAR;470300;470300
ESCOLAR;470500;470500
ESCOLAR;471000;471000
ESCOLAR;472700;472700
ESCOLAR;473200;473200
ESCOLAR;473600;473600
ESCOLAR;474000;474000
ESCOLAR;474100;474100
ESCOLAR;475200;475200
ESCOLAR;475400;475400
ESCOLAR;475500;475500
ESCOLAR;475700;475700
ESCOLAR;475900;475900
ESCOLAR;476000;476000
ESCOLAR;477100;477100
ESCOLAR;477400;477400
ESCOLAR;477900;477900
ESCOLAR;478100;478100
ESCOLAR;478400;478400
ESCOLAR;478600;478600
ESCOLAR;479400;479400
ESCOLAR;480600;480600
ESCOLAR;480900;480900
ESCOLAR;481000;481000
ESCOLAR;481400;481400
ESCOLAR;481600;481600
ESCOLAR;482000;482000
ESCOLAR;482100;482100
ESCOLAR;482200;482200
ESCOLAR;483600;483600
ESCOLAR;483800;483800
ESCOLAR;484300;484300
ESCOLAR;484400;484400
ESCOLAR;484600;484600
ESCOLAR;485100;485100
ESCOLAR;485600;485600
ESCOLAR;486500;486500
ESCOLAR;487900;487900
ESCOLAR;488100;488100
ESCOLAR;488600;488600
ESCOLAR;489000;489000
ESCOLAR;489600;489600
ESCOLAR;490000;490000
ESCOLAR;491400;491400
ESCOLAR;491800;491800
ESCOLAR;491900;491900
ESCOLAR;492300;492300
ESCOLAR;492800;492800
ESCOLAR;493500;493500
ESCOLAR;493600;493600
ESCOLAR;494400;494400
ESCOLAR;494600;494600
ESCOLAR;495700;495700
ESCOLAR;496900;496900
ESCOLAR;497500;497500
ESCOLAR;497900;497900
ESCOLAR;498100;498100
ESCOLAR;498500;498500
ESCOLAR;498600;498600
ESCOLAR;498800;498800
ESCOLAR;498900;498900
ESCOLAR;499400;499400
ESCOLAR;499900;499900
ESCOLAR;500100;500100
ESCOLAR;501100;501100
ESCOLAR;501500;501500
ESCOLAR;501600;501600
ESCOLAR;501800;501800
ESCOLAR;502300;502300
ESCOLAR;502400;502400
ESCOLAR;502800;502800
ESCOLAR;503000;503000
ESCOLAR;503500;503500
ESCOLAR;504800;504800
ESCOLAR;505300;505300
ESCOLAR;505500;505500
ESCOLAR;506600;506600
ESCOLAR;507000;507000
ESCOLAR;507500;507500
ESCOLAR;508400;508400
ESCOLAR;508900;508900
ESCOLAR;509000;509000
ESCOLAR;509100;509100
ESCOLAR;509200;509200
ESCOLAR;509400;509400
ESCOLAR;509800;509800
ESCOLAR;510600;510600
ESCOLAR;510800;510800
ESCOLAR;510900;510900
ESCOLAR;511500;511500
ESCOLAR;511800;511800
ESCOLAR;511900;511900
ESCOLAR;512300;512300
ESCOLAR;512700;512700
ESCOLAR;513200;513200
ESCOLAR;513300;513300
ESCOLAR;513500;513500
ESCOLAR;513800;513800
ESCOLAR;513900;513900
ESCOLAR;514000;514000
ESCOLAR;514100;514100
ESCOLAR;514900;514900
ESCOLAR;515300;515300
ESCOLAR;515400;515400
ESCOLAR;515600;515600
ESCOLAR;515900;515900
ESCOLAR;517100;517100
ESCOLAR;517900;517900
ESCOLAR;518500;518500
ESCOLAR;518600;518600
ESCOLAR;519700;519700
ESCOLAR;520000;520000
ESCOLAR;520300;520300
ESCOLAR;520500;520500
ESCOLAR;520600;520600
ESCOLAR;520700;520700
ESCOLAR;521100;521100
ESCOLAR;521200;521200
ESCOLAR;521300;521300
ESCOLAR;521800;521800
ESCOLAR;522200;522200
ESCOLAR;523900;523900
ESCOLAR;525400;525400
ESCOLAR;525800;525800
ESCOLAR;526000;526000
ESCOLAR;526900;526900
ESCOLAR;527100;527100
ESCOLAR;527400;527400
ESCOLAR;527600;527600
ESCOLAR;527700;527700
ESCOLAR;528000;528000
ESCOLAR;528400;528400
ESCOLAR;528500;528500
ESCOLAR;529000;529000
ESCOLAR;529100;529100
ESCOLAR;529400;529400
ESCOLAR;529500;529500
ESCOLAR;529900;529900
ESCOLAR;530400;530400
ESCOLAR;530600;530600
ESCOLAR;530900;530900
ESCOLAR;531500;531500
ESCOLAR;531700;531700
ESCOLAR;532300;532300
ESCOLAR;532500;532500
ESCOLAR;532600;532600
ESCOLAR;533300;533300
ESCOLAR;533400;533400
ESCOLAR;534500;534500
ESCOLAR;534600;534600
ESCOLAR;534900;534900
ESCOLAR;535400;535400
ESCOLAR;535700;535700
ESCOLAR;537000;537000
ESCOLAR;538000;538000
ESCOLAR;538400;538400
ESCOLAR;538800;538800
ESCOLAR;539100;539100
ESCOLAR;539200;539200
ESCOLAR;539300;539300
ESCOLAR;539500;539500
ESCOLAR;539700;539700
ESCOLAR;539800;539800
ESCOLAR;540100;540100
ESCOLAR;540200;540200
ESCOLAR;540400;540400
ESCOLAR;540500;540500
ESCOLAR;541100;541100
ESCOLAR;541500;541500
ESCOLAR;542100;542100
ESCOLAR;543500;543500
ESCOLAR;543700;543700
ESCOLAR;544500;544500
ESCOLAR;544700;544700
ESCOLAR;544900;544900
ESCOLAR;545300;545300
ESCOLAR;545700;545700
ESCOLAR;546600;546600
ESCOLAR;547000;547000
ESCOLAR;547400;547400
ESCOLAR;547800;547800
ESCOLAR;547900;547900
ESCOLAR;548200;548200
ESCOLAR;548600;548600
ESCOLAR;548900;548900
ESCOLAR;549700;549700
ESCOLAR;550000;550000
ESCOLAR;550200;550200
ESCOLAR;550500;550500
ESCOLAR;551200;551200
ESCOLAR;551500;551500
ESCOLAR;551700;551700
ESCOLAR;551900;551900
ESCOLAR;553200;553200
ESCOLAR;553400;553400
ESCOLAR;553900;553900
ESCOLAR;555000;555000
ESCOLAR;556300;556300
ESCOLAR;556900;556900
ESCOLAR;557500;557500
ESCOLAR;558000;558000
ESCOLAR;558200;558200
ESCOLAR;558500;558500
ESCOLAR;558900;558900
ESCOLAR;560000;560000
ESCOLAR;560100;560100
ESCOLAR;560200;560200
ESCOLAR;560900;560900
ESCOLAR;561200;561200
ESCOLAR;562300;562300
ESCOLAR;562500;562500
ESCOLAR;562600;562600
ESCOLAR;563000;563000
ESCOLAR;563100;563100
ESCOLAR;563200;563200
ESCOLAR;563700;563700
ESCOLAR;563800;563800
ESCOLAR;564700;564700
ESCOLAR;565000;565000
ESCOLAR;565100;565100
ESCOLAR;565200;565200
ESCOLAR;565300;565300
ESCOLAR;565500;565500
ESCOLAR;565700;565700
ESCOLAR;565800;565800
ESCOLAR;566400;566400
ESCOLAR;566800;566800
ESCOLAR;566900;566900
ESCOLAR;567100;567100
ESCOLAR;567700;567700
ESCOLAR;568000;568000
ESCOLAR;568300;568300
ESCOLAR;568600;568600
ESCOLAR;569600;569600
ESCOLAR;569700;569700
ESCOLAR;569900;569900
ESCOLAR;570500;570500
ESCOLAR;570700;570700
ESCOLAR;571100;571100
ESCOLAR;571300;571300
ESCOLAR;572000;572000
ESCOLAR;572600;572600
ESCOLAR;572700;572700
ESCOLAR;572800;572800
ESCOLAR;573000;573000
ESCOLAR;573200;573200
ESCOLAR;573300;573300
ESCOLAR;573700;573700
ESCOLAR;573900;573900
ESCOLAR;574000;574000
ESCOLAR;574100;574100
ESCOLAR;574200;574200
ESCOLAR;574400;574400
ESCOLAR;574700;574700
ESCOLAR;574800;574800
ESCOLAR;574900;574900
ESCOLAR;575800;575800
ESCOLAR;575900;575900
ESCOLAR;576200;576200
ESCOLAR;576600;576600
ESCOLAR;576800;576800
ESCOLAR;576900;576900
ESCOLAR;577100;577100
ESCOLAR;578100;578100
ESCOLAR;578300;578300
ESCOLAR;578400;578400
ESCOLAR;578500;578500
ESCOLAR;578600;578600
ESCOLAR;579300;579300
ESCOLAR;579400;579400
ESCOLAR;579600;579600
ESCOLAR;579700;579700
ESCOLAR;580000;580000
ESCOLAR;580500;580500
ESCOLAR;580600;580600
ESCOLAR;581100;581100
ESCOLAR;581200;581200
ESCOLAR;581400;581400
ESCOLAR;581500;581500
ESCOLAR;581600;581600
ESCOLAR;581800;581800
ESCOLAR;582000;582000
ESCOLAR;582200;582200
ESCOLAR;582400;828500
ESCOLAR;582700;582700
ESCOLAR;583400;583400
ESCOLAR;583800;583800
ESCOLAR;584900;584900
ESCOLAR;585200;585200
ESCOLAR;585600;585600
ESCOLAR;585800;585800
ESCOLAR;585900;585900
ESCOLAR;586100;586100
ESCOLAR;586200;586200
ESCOLAR;587100;587100
ESCOLAR;587200;587200
ESCOLAR;588000;588000
ESCOLAR;588300;588300
ESCOLAR;588500;588500
ESCOLAR;588900;588900
ESCOLAR;589000;589000
ESCOLAR;589300;589300
ESCOLAR;589600;589600
ESCOLAR;590100;590100
ESCOLAR;590200;590200
ESCOLAR;590600;590600
ESCOLAR;591200;591200
ESCOLAR;592000;592000
ESCOLAR;592100;592100
ESCOLAR;592600;592600
ESCOLAR;593300;593300
ESCOLAR;593700;593700
ESCOLAR;594200;594200
ESCOLAR;594300;594300
ESCOLAR;594900;594900
ESCOLAR;595000;595000
ESCOLAR;595100;595100
ESCOLAR;595500;595500
ESCOLAR;595600;595600
ESCOLAR;596300;596300
ESCOLAR;596500;596500
ESCOLAR;596600;596600
ESCOLAR;596900;596900
ESCOLAR;597000;597000
ESCOLAR;597300;597300
ESCOLAR;597600;597600
ESCOLAR;597800;597800
ESCOLAR;597900;597900
ESCOLAR;598300;598300
