MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
PEUGEOT/BOXER FFBM 32;2006;12/02/2014;diesel;
VW/CAIO PICCOLINO O.;2000;27/09/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;15/10/2013;diesel;
FIAT/DUCATO C REFAMMIC12;2003;21/08/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2010;30/09/2013;diesel;
FIAT/DUCATO C REFAMMIC12;2002;28/08/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2005;08/10/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2010;14/11/2013;diesel;
I/KIA BESTA GS GRAND;2001;03/02/2014;diesel;
I/JINBEI TOPIC L;2010;19/11/2013;gasolina / gnv;
I/M.BENZ 311 NIKS PAS;2012;12/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;19/12/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2009;05/02/2014;diesel;
VW/KOMBI ESCOLAR;2013;29/01/2014;álcool/gasolina;
FIAT/DUCATO MINIBUS;2010;29/01/2014;diesel;
FIAT/DUCA15 FFORMA MIC20;2010;16/08/2013;diesel;
I/KIA BESTA GS GRAND;2002;27/12/2013;diesel;
I/KIA BESTA GS GRAND;2001;09/12/2013;diesel;
I/KIA BESTA GS GRAND;2001;06/11/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;19/11/2013;diesel;
FIAT/DUCATO COMBINATO;2003;16/09/2013;diesel;
FIAT/DUCATO MINIBUS;2003;21/11/2013;diesel;
MARCOPOLO/VOLARE ESCOLAR;2000;04/11/2013;diesel;
RENAULT/M REVESCAP L3H2;2007;14/10/2013;diesel;
FIAT/DUCATO MINIBUS;2007;28/11/2013;diesel;
PEUGEOT/BOXER M330M 23S;2013;30/07/2013;diesel;
PEUGEOT/BOXER FFBM 32;2006;28/08/2013;diesel;
M.B./M. BENZ LO 708 E;1989;19/09/2013;diesel;
I/JINBEI TOPIC L;2012;10/09/2013;gasolina / gnv;
FIAT/DUCATO NIKS 16;2003;26/09/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2007;07/10/2013;diesel;
I/JINBEI TOPIC L;2012;30/10/2013;gasolina / gnv;
FIAT/DUCATO MULTI REVESC;2010;21/10/2013;diesel;
I/M.BENZ GUERRA MIC 20;2013;17/02/2014;diesel;
I/M.BENZ GUERRA MIC 20;2012;13/09/2013;diesel;
CITROEN/JUMPER M33M 23S;2013;16/12/2013;diesel;
I/JINBEI TOPIC L;2012;20/09/2013;gasolina;
FIAT/DUCATO MINIBUS;2008;31/07/2013;diesel;
MARCOPOLO/VOLARE W8 ON;2003;10/02/2014;diesel;
MARCOPOLO/VOLARE V8 ESC;2009;22/11/2013;diesel;
M.BENZ/LO 814;1997;24/01/2014;diesel;
PEUGEOT/BOXER 16 LUG;2003;23/10/2013;diesel;
FIAT/DUCATO MINIBUS;2009;17/02/2014;diesel;
IMP/MBENZ 312D SPRINTER M;2000;17/09/2013;diesel;
PEUGEOT/BOXER TRANS ESC;2011;13/12/2013;diesel;
FIAT/DUCATO 15;2001;18/11/2013;diesel;
FIAT/DUCATO MINIBUS;2011;18/09/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2004;27/11/2013;diesel;
IMP/MMC L300;1999;17/02/2014;diesel;
IMP/KIA BESTA 12P GS;2000;18/12/2013;diesel;
FIAT/DUCATO COMBINATO;2007;03/12/2013;diesel;
I/KIA BESTA GS GRAND2;2005;11/02/2014;diesel;
I/KIA BESTA GS GRAND;2001;11/12/2013;diesel;
FIAT/DUCATO MINIBUS;2012;05/09/2013;diesel;
MARCOPOLO/VOLARE ESCOLAR;2002;07/10/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2007;20/08/2013;diesel;
MARCOPOLO/VOLARE ESCOLAR;1999;23/08/2013;diesel;
I/KIA BESTA GS GRAND;2001;22/11/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2008;12/02/2014;diesel;
FIAT/DUCATO GUERRA MC 20;2011;18/12/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2005;23/12/2013;diesel;
IMP/KIA BESTA 12P GS;2000;25/10/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2007;04/09/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2008;21/08/2013;diesel;
I/JINBEI TOPIC L;2012;03/02/2014;gasolina;
I/HYUNDAI H100 GLS;2004;09/12/2013;diesel;
IMP/KIA BESTA 12P GS;2001;12/12/2013;diesel;
I/M.BENZ GUERRA MIC 20;2008;22/11/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2008;27/09/2013;diesel;
FIAT/DUCATO MINIBUS;2010;21/11/2013;diesel;
MARCOPOLO/VOLARE;2001;30/09/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2008;04/12/2013;diesel;
I/HYUNDAI H100 GLS;2002;06/02/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2001;11/10/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2004;10/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;16/12/2013;diesel;
I/M.BENZ311 RIBEIRO MO18;2013;15/01/2014;diesel;
FIAT/DUC TRANSFORMERS TE;2012;19/11/2013;diesel;
FIAT/DUCATO MINIBUS;2009;28/11/2012;diesel;
MARCOPOLO VOLARE A8 MO;2000;04/09/2013;diesel;
FIAT/DUCATO COMBINATO;2005;18/11/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2009;27/09/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2011;07/11/2013;diesel;
I/HYUNDAI H100 TOP;2000;04/10/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2005;03/02/2014;diesel;
FIAT/DUCATO MINIBUS;2009;19/11/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2009;07/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2013;31/01/2014;diesel;
IMP/KIA BESTA 12P GS;1999;11/02/2014;diesel;
FIAT/DUCATO MULTI REVESC;2011;18/09/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2009;21/10/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2010;18/02/2014;diesel;
FIAT/DUCATO 15REFAMMIC13;2002;02/09/2013;diesel;
FIAT/DUCATO MINIBUS;2008;13/12/2013;diesel;
VW/KOMBI ESCOLAR;2006;18/10/2013;álcool/gasolina/gnv;
PEUGEOT/BOXER M330M 23S;2012;02/12/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2005;04/10/2013;diesel;
VW/KOMBI LOTA860;2008;01/10/2013;álcool/gasolina;
I/HYUNDAI H100 GL;2000;13/12/2013;diesel;
I/M.BENZ 415CDISPRINTERM;2012;14/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2006;13/02/2014;diesel;
IMP/MBENZ 312D SPRINTER M;2000;14/10/2013;diesel;
I/KIA BESTA GS GRAND;2001;13/11/2013;diesel;
FIAT/DUCATO COMBINATO;2007;17/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;17/10/2013;diesel;
IMP/KIA BESTA 12P GS;1999;19/09/2013;diesel;
FIAT/DUCATO COMBINATO;2008;13/12/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2009;07/02/2014;diesel;
FIAT/DUCATO MINIBUS;2008;04/10/2013;diesel;
FIAT/DUCATO MINIBUS;2007;26/11/2013;diesel;
I/JINBEI FABUSFORMA M35;2012;16/10/2013;gasolina;
I/M.BENZ 311 NIKS PAS;2012;05/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;05/11/2013;diesel;
I/KIA BESTA GS GRAND;2000;25/10/2013;diesel;
MARCOPOLO/VOLARE V6 ESC;2011;09/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2012;25/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;11/02/2014;diesel;
I/KIA BESTA GS GRAND2;2005;12/12/2013;diesel;
FIAT/DUCATO MINIBUS;2010;18/02/2014;diesel;
I/HYUNDAI H100 GL;2001;12/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;10/12/2013;diesel;
FIAT/DUCATO MINIBUS;2008;25/11/2013;diesel;
MARCOPOLO/VOLARE LOTACAO;2000;23/12/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2008;12/12/2013;diesel;
IMP/KIA BESTA 12P GS;1998;26/06/2013;diesel;
I/FORD TRANSIT 350L BUS;2011;16/12/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2009;20/12/2013;diesel;
I/KIA BESTA GS GRAND2;2004;30/11/2013;diesel;
I/HYUNDAI H100 GLS;2003;12/12/2013;diesel;
FIAT/DUCATO 15REFAMMIC13;2003;15/01/2014;diesel;
I/KIA BESTA GS GRAND2;2005;19/11/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2003;10/02/2014;diesel;
RENAULT/M REVESCAP L3H2;2008;16/12/2013;diesel;
I/HYUNDAI H100 GL;2000;11/12/2013;diesel;
PEUGEOT/BOXER NIKS MO20;2008;12/02/2014;diesel;
FIAT/DUCATO NIKS MIC 20;2011;05/12/2013;diesel;
RENAULT/MASTER BUS16 DCI;2008;19/12/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2007;14/10/2013;diesel;
FIAT/DUCATO C REFAMMIC12;2002;21/01/2014;diesel;
MARCOPOLO/VOLARE A6 ON;2004;13/01/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2008;19/02/2014;diesel;
FIAT/DUCATO NIKS MIC 20;2007;20/12/2013;diesel;
PEUGEOT/BOXER M350LH 23S;2013;17/12/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2006;27/11/2013;diesel;
RENAULT/MASTER BUS16 DCI;2008;11/12/2013;diesel;
I/JINBEI FABUSFORMA M35;2012;17/12/2013;gasolina;
FIAT/DUCATO M REFAMMIC11;2007;13/12/2013;diesel;
FIAT/DUCATO NIKS 16;2002;18/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2009;02/01/2014;diesel;
VW/KOMBI;2004;06/01/2014;gasolina / gnv;
FIAT/DUCATO COMBINATO;2004;30/12/2013;diesel;
MARCOPOLO/VOLARE V6 ESC;2008;13/12/2013;diesel;
PEUGEOT/BOXER NIKS CAP P;2012;06/01/2014;diesel;
RENAULT/MASTER BUS16 DCI;2011;11/12/2013;diesel;
I/KIA BESTA GS GRAND;2001;20/12/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2003;07/02/2014;diesel;
I/KIA BESTA G RONTAN MIC;2000;16/12/2013;diesel;
I/HYUNDAI H100 GLS;1999;27/12/2013;diesel;
FIAT/DUCATO NIKS MIC 20;2008;08/01/2014;diesel;
VW/KOMBI ESCOLAR;2009;20/01/2014;álcool/gasolina;
MARCOPOLO/VOLARE W8 ON;2006;26/12/2013;diesel;
PEUGEOT/BOX GREENCAR MO2;2008;07/01/2014;diesel;
FIAT/DUCATO GREENCAR MO1;2009;26/12/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2006;31/01/2014;diesel;
PEUGEOT/BOXER FFBM 32;2006;03/02/2014;diesel;
FIAT/DUCATO MINIBUS;2005;27/12/2013;diesel;
PEUGEOT/BOX GUERRA MIC20;2012;10/02/2014;diesel;
I/KIA BESTA GS GRAND;2001;17/01/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2002;06/01/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;20/01/2014;diesel;
MARCOPOLO/VOLARE;2000;12/02/2014;diesel;
I/HYUNDAI H100 GL;2000;04/02/2014;diesel;
RENAULT/M REVESCAP L3H2;2009;15/01/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2007;15/01/2014;diesel;
PEUGEOT/BOX GREENCAR MO2;2010;14/01/2014;diesel;
I/KIA BESTA GS GRAND;2001;17/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;10/01/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2004;23/01/2014;diesel;
I/KIA BESTA GS GRAND;2001;14/01/2014;diesel;
I/HYUNDAI H100 GLS;2004;14/01/2014;diesel;
FIAT/DUCATO MINIBUS;2007;29/01/2014;diesel;
I/HYUNDAI H100 GL;2002;07/02/2014;diesel;
RENAULT/M REVESCAP L3H2;2008;19/02/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;17/01/2014;diesel;
CITROEN/JUMPER M33M HDI;2007;18/02/2014;diesel;
FIAT/DUC M APLIKART M20;2009;17/01/2014;diesel;
FIAT/DUCATO MINIBUS;2013;14/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;10/02/2014;diesel;
I/JINBEI FABUSFORMA M35;2010;26/12/2013;gasolina;
PEUGEOT/BOXER M330M 23S;2012;17/01/2014;diesel;
IMP/KIA BESTA 12P GS;1999;03/01/2014;diesel;
I/KIA BESTA GS GRAND2;2004;02/12/2013;diesel;
I/M.BENZ 311 NIKS PAS;2012;27/12/2013;diesel;
I/KIA BESTA GS GRAND;2001;03/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;02/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;16/01/2014;diesel;
I/M. BENZ311CDI  SPRINTERM;2003;28/01/2014;diesel;
I/M.BENZ313CDI TRANS ESC;2011;16/09/2013;diesel;
PEUGEOT/BOXER M330M 23S;2012;16/01/2014;diesel;
I/JINBEI FABUSFORMA M35;2011;16/01/2014;gasolina / gnv;
FIAT/DUCATO GUERRA MC 20;2011;23/01/2014;diesel;
FIAT/DUCATO COMBINATO;2005;10/02/2014;diesel;
FIAT/DUCACOMFFORMA MIC21;2008;10/02/2014;diesel;
FIAT/DUCATO NIKS MULT 16;2011;16/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;22/01/2014;diesel;
I/KIA BESTA GS GRAND;2000;08/01/2014;diesel;
FIAT/DUCATO MINIBUS;2010;31/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;07/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;20/01/2014;diesel;
I/KIA BESTA GS GRAND2;2004;23/01/2014;diesel;
FIAT/DUC M APLIKART M20;2010;20/01/2014;diesel;
MARCOPOLO/VOLARE V8 ON;2011;23/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;22/01/2014;diesel;
FIAT/DUCATO COMBINATO;2007;15/01/2014;diesel;
FIAT/DUCATO FABUSFORMA;2013;23/01/2014;diesel;
I/HYUNDAI H100 GLS;2002;17/01/2014;diesel;
I/JINBEI TOPIC SL;2011;07/02/2014;gasolina / gnv;
MARCOPOLO/VOLARE ESCOLAR;2000;23/01/2014;diesel;
FIAT/DUCATO NIKS MULT 16;2007;04/01/2014;diesel;
FIAT/DUCATO GREENCAR MO1;2009;13/01/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2002;08/01/2014;diesel;
FIAT/DUC M APLIKART M20;2010;15/01/2014;diesel;
I/JINBEI TOPIC L;2012;23/01/2014;gasolina;
FIAT/DUCA15 FFORMA MIC20;2008;23/01/2014;diesel;
I/M.BENZ 313 CDI FFBM 28;2010;07/01/2014;diesel;
I/HYUNDAI H100 GLS;1999;17/01/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2009;06/01/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;07/02/2014;diesel;
PEUGEOT/BOXER M33OM HDI;2008;29/01/2014;diesel;
FIAT/DUCATO REVESCAP;2007;21/01/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;24/01/2014;diesel;
IMP/MBENZ 312D SPRINTER M;2001;24/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2010;15/01/2014;diesel;
FIAT/DUCATO M EMBRAFI 16;2009;17/02/2014;diesel;
PEUGEOT/BOXER TRANS ESC;2011;19/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2009;27/01/2014;diesel;
RENAULT/MAST MARTICAR 19;2011;10/01/2014;diesel;
I/KIA BESTA GS GRAND;2001;28/01/2014;diesel;
FIAT/DUCATO MINIBUS;2009;30/01/2014;diesel;
I/JINBEI TOPIC L;2012;31/01/2014;gasolina;
I/HYUNDAI H100 GLS;2001;30/12/2013;diesel;
MARCOPOLO/VOLARE V8 ESC;2010;03/01/2014;diesel;
IMP/KIA BESTA 12P GS;1999;03/02/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2002;02/01/2014;diesel;
FIAT/DUC TRANSFORMERS TE;2013;29/01/2014;diesel;
I/JINBEI FABUSFORMA M35;2011;24/01/2014;gasolina;
PEUGEOT/BOXER NIKS 16;2010;18/02/2014;diesel;
FIAT/DUCATO NIKS MULT 16;2007;02/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;04/02/2014;diesel;
AGRALE/NEOBUS THUNDER;2001;21/01/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;22/01/2014;diesel;
I/KIA BESTA GS GRAND2;2005;27/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;17/02/2014;diesel;
IMP/ASIA TOPIC;1998;19/08/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2009;19/02/2014;diesel;
FIAT/DUCATO GUERRA MC 20;2010;29/01/2014;diesel;
FIAT/DUCATO NIKS MULT 16;2010;30/01/2014;diesel;
RENAULT/MASTER BUS16 DCI;2008;21/01/2014;diesel;
PEUGEOT/BOXER NIKS 16;2008;15/01/2014;diesel;
I/HYUNDAI H100 GLS;2003;07/02/2014;diesel;
FIAT/DUCATO VIPK;2011;30/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2009;17/02/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2008;09/01/2014;diesel;
I/KIA BESTA GS GRAND;2001;18/02/2014;diesel;
I/KIA BESTA GS GRAND;2000;31/01/2014;diesel;
PEUGEOT/BOXER FFBM 32;2006;11/02/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;14/02/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2001;11/02/2014;diesel;
VW/KOMBI ESCOLAR;2010;22/01/2014;álcool/gasolina;
FIAT/DUCATO 15REFAMMIC13;2003;30/01/2014;diesel;
IMP/MBENZ 312D SPRINTER M;2000;07/01/2014;diesel;
CITROEN/JUMPER M33M HDI;2007;31/01/2014;diesel;
FIAT/DUCATO M REFAMMIC11;2007;10/01/2014;diesel;
I/KIA BESTA GS GRAND2;2005;08/02/2014;diesel;
FIAT/DUCATO GUERRA MC 20;2013;03/02/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2008;24/01/2014;diesel;
PEUGEOT/BOXER M33OM HDI;2007;29/01/2014;diesel;
I/HYUNDAI H100 GLS;2001;06/02/2014;diesel;
VW/KOMBI LOTA860;2006;14/10/2013;álcool/gasolina/gnv;
VW/MPOLO SENIOR GVO;2003;17/02/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2001;17/02/2014;diesel;
FIAT/DUCATO GREENCAR MO1;2011;13/01/2014;diesel;
PEUGEOT/BOXER 16 LUG;2003;14/02/2013;diesel;
VW/KOMBI LOTA860;2008;14/01/2014;álcool/gasolina;
VW/MPOLO FRATELLO LOT;2002;14/01/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2000;25/09/2013;diesel;
IMP/KIA BESTA 12P GS;1999;30/01/2014;diesel;
RENAULT/MASTER NIKS MO20;2012;27/01/2014;diesel;
FIAT/DUCATO COMBINATO;2007;05/02/2014;diesel;
FIAT/DUCATO NIKS 16;2011;07/02/2014;diesel;
I/KIA BESTA GS GRAND;2003;08/02/2014;diesel;
MARCOPOLO/VOLARE;2002;11/02/2014;diesel;
IMP/KIA BESTA 12P GS;1999;17/02/2014;diesel;
PEUGEOT/BOXER M33OM HDI;2006;03/02/2014;diesel;
FIAT/DUC TRANSFORMERS TE;2011;11/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2010;10/02/2014;diesel;
AGRALE/NEOBUS THUNDER;2001;21/11/2013;diesel;
FIAT/DUC TRANSFORMERS TE;2011;01/11/2013;diesel;
I/HYUNDAI H100 GL;2003;01/02/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2002;04/02/2014;diesel;
FIAT/DUCACOMFFORMA MIC21;2009;31/01/2014;diesel;
FIAT/DUCA15 FFORMA MIC20;2010;04/02/2014;diesel;
I/KIA BESTA GS GRAND2;2004;19/02/2014;diesel;
I/JINBEI TOPIC L;2010;15/02/2014;gasolina;
PEUGEOT/BOXER FFBM 32;2007;04/02/2014;diesel;
FIAT/DUCATO MINIBUS;2006;14/11/2013;diesel;
I/M.BENZ TAKO SPRINM 16;2012;24/01/2014;diesel;
I/KIA BESTA GS GRAND;2002;23/08/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2007;31/01/2014;diesel;
FIAT/DUCA15 FFORMA MIC20;2009;19/02/2014;diesel;
PEUGEOT/BOXER M33OM HDI;2008;13/11/2013;diesel;
PEUGEOT/BOXER M330M 23S;2012;09/12/2013;diesel;
RENAULT/M REVESCAP L3H2;2009;20/08/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2007;31/01/2014;diesel;
IVECOFIAT/D4012 MAXIVAN1;2001;26/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;13/02/2014;diesel;
FIAT/DUCATO MINIBUS;2011;28/01/2014;diesel;
PEUGEOT/BOX GREENCAR MO2;2009;17/02/2014;diesel;
VW/KOMBI LOTA860;2009;30/10/2013;álcool/gasolina;
FIAT/DUC M APLIKART M20;2012;19/09/2013;diesel;
FIAT/DUCATO COMBINATO;2007;14/10/2013;diesel;
FIAT/DUCATO MINIBUS;2002;19/11/2013;diesel;
FIAT/DUCATO COMBINATO;2009;07/10/2013;diesel;
FIAT/DUCATO MINIBUS;2012;19/02/2014;diesel;
PEUGEOT/BOXER NIKS CAP P;2012;06/09/2013;diesel;
I/HYUNDAI H100 GLS;2002;09/10/2013;diesel;
IMP/ASIA TOPIC DLX;1997;27/06/2012;diesel;
PEUGEOT/BOXER M330M 23S;2012;26/09/2013;diesel;
I/M. BENZ311CDI  SPRINTERM;2003;12/11/2013;diesel;
I/KIA BESTA GS GRAND;2000;11/11/2013;diesel;
I/M. BENZ311CDI  SPRINTERM;2004;19/03/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2007;13/02/2014;diesel;
FIAT/DUCATO NIKS MIC 20;2011;16/09/2013;diesel;
FIAT/DUCATO NIKS MIC 20;2009;02/09/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2005;04/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;18/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;25/09/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2009;22/11/2013;diesel;
IMP/MBENZ 312D SPRINTER M;2001;12/12/2013;diesel;
IMP/MBENZ 312D SPRINTER M;1999;06/11/2013;diesel;
VW/7110 S CO;1992;11/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2013;14/10/2013;diesel;
M.B./M BENZ LO 812;1991;29/10/2013;diesel;
I/HYUNDAI H100 GLS;2001;29/11/2013;diesel;
MARCOPOLO/VOLARE;2002;27/11/2013;diesel;
I/KIA BESTA GS GRAND;2001;10/02/2014;diesel;
MARCOPOLO/VOLARE ESCOLAR;2002;04/02/2014;diesel;
MARCOPOLO/VOLARE A8 ON;2002;09/10/2013;diesel;
FIAT/DUCATO FABUSFORMA;2011;18/10/2013;diesel;
PEUGEOT/BOXER REVESCAP17;2010;19/02/2014;diesel;
FIAT/DUCATO COMBINATO;2007;25/10/2013;diesel;
I/HYUNDAI H100 GLS;2003;20/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;23/12/2013;diesel;
FIAT/DUC TRANSFORMERS TE;2011;06/11/2013;diesel;
FIAT/DUCATO NIKS;2006;13/02/2014;diesel;
I/HYUNDAI H100 GL;1999;29/08/2013;diesel;
M.BENZ/LO812 NEOBUS WAY;2007;01/11/2013;diesel;
MARCOPOLO/VOLARE W9 ON;2007;12/09/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;10/12/2013;diesel;
FIAT/DUCATO C REFAMMIC12;2007;09/10/2013;diesel;
I/M.BENZ 415 TRANSF PAS;2012;24/10/2013;diesel;
MERCEDES BENZ SPRINTER NIK516;2011;22/11/2013;diesel;
IMP/KIA BESTA 12P GS;1999;19/12/2013;diesel;
FIAT/DUCATO MINIBUS;2007;09/09/2013;diesel;
I/JINBEI TOPIC L;2010;10/02/2014;gasolina;
I/KIA BESTA GS GRAND;2000;25/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;26/11/2013;diesel;
VW/KOMBI;2009;30/10/2013;álcool/gasolina;
FIAT/DUCATO COMBINATO;2008;07/02/2014;diesel;
FIAT/DUC TRANSFORMERS TE;2013;17/12/2013;diesel;
FIAT/DUCATO M REFAMMIC11;2007;16/09/2013;diesel;
I/M.BENZ GUERRA MIC 20;2013;24/01/2014;diesel;
FIAT/DUCATO 15REFAMMIC13;2002;20/12/2013;diesel;
IMP/ASIA TOPIC;1998;28/06/2013;diesel;
PEUGEOT/BOXER M330M 23S;2012;13/12/2013;diesel;
FIAT/DUCATO MINIBUS;2009;19/02/2014;diesel;
PEUGEOT/BOXER M33OM HDI;2008;17/10/2013;diesel;
VW/KOMBI LOTA860;2007;02/12/2013;álcool/gasolina;
I/HYUNDAI H100 GLS;2001;17/10/2013;diesel;
I/HYUNDAI H100 GLS;1999;20/08/2013;diesel;
FIAT/DUCATO MINIBUS;2013;13/02/2014;diesel;
FIAT/DUC TRANSFORMERS TE;2007;16/09/2013;diesel;
I/KIA BESTA GS GRAND2;2005;14/11/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2008;17/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2006;06/11/2013;diesel;
FIAT/DUCATO COMBINATO;2007;07/10/2013;diesel;
I/M.BENZ GUERRA MIC 20;2013;31/01/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2007;17/12/2013;diesel;
FIAT/DUCATO MULT TAKO MI;2008;20/05/2013;diesel;
IMP/KIA BESTA 12P GS;2001;21/11/2013;diesel;
FIAT/DUCATO MINIBUS;2009;12/02/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2001;30/08/2013;diesel;
FIAT/DUCATO FABUSFORMA;2012;08/11/2013;diesel;
RENAULT/MASTER RONTANESC;2003;08/11/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2008;12/12/2013;diesel;
FIAT/DUCATO NIKS;2002;05/12/2013;diesel;
I/M.BENZ313CDI REVESCAP;2011;13/11/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2005;17/10/2013;diesel;
FIAT/DUCATO MINIBUS;2008;27/09/2013;diesel;
I/FORD TRANSIT 350L BUS;2008;04/12/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2007;02/12/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2010;29/10/2013;diesel;
I/HYUNDAI H100 GL;2001;14/11/2013;diesel;
VW/KOMBI LOTA860;2009;19/02/2014;álcool/gasolina;
FIAT/DUCATO MULTI REVESC;2010;29/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2012;31/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;17/09/2013;diesel;
I/KIA BESTA GS GRAND;2001;07/02/2014;diesel;
FIAT/DUCATO C REFAMMIC12;2007;16/12/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2008;19/12/2013;diesel;
CITROEN/JUMPER M33M HDI;2008;16/12/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;24/09/2013;diesel;
I/HYUNDAI H100 GLS;2003;16/09/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2006;07/11/2013;diesel;
IMP/MMC L300;1999;16/12/2013;diesel;
