MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
IMP/KIA BESTA 12P GS;1998;24/05/2013;diesel;
I/HYUNDAI H100 GLS;2001;09/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2009;09/01/2014;diesel;
PEUGEOT/BOXER 16 LUG;2004;04/02/2014;diesel;
IMP/KIA BESTA 12P GS;1999;29/01/2014;diesel;
I/HYUNDAI H100 GLS;2002;03/01/2014;diesel;
VW/KOMBI LOTA860;2008;21/01/2014;álcool/gasolina;
I/KIA BESTA GS GRAND;2001;13/01/2014;diesel;
FIAT/DUCATO NIKS MIC 20;2008;15/01/2014;diesel;
FIAT/DUCATO VIPK;2012;16/01/2014;diesel;
IMP/KIA BESTA 12P GS;1999;05/02/2014;diesel;
FIAT/DUCATO GREENCAR MO1;2011;22/08/2013;diesel;
MARCOPOLO/VOLARE W8 ON;2007;31/01/2014;diesel;
IMP/KIA BESTA 12P GS;1999;18/02/2014;diesel;
I/JINBEI TOPIC L;2012;16/01/2014;gasolina;
VW/KOMBI LOTA860;2007;17/01/2014;álcool/gasolina;
FIAT/DUCATO MINIBUS;2009;20/01/2014;diesel;
VW/KOMBI LOTA860;2007;06/02/2014;álcool/gasolina;
I/KIA BESTA GS GRAND;2000;16/10/2013;diesel;
I/M.BENZ 415CDISPRINTERM;2013;05/12/2013;diesel;
VW/KOMBI LOTA860;2009;06/02/2014;álcool/gasolina;
FIAT/DUCACOMFFORMA MIC21;2002;10/09/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;17/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2007;14/02/2014;diesel;
I/M.BENZ 313 CDI FFBM 28;2006;18/11/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;09/12/2013;diesel;
I/HYUNDAI H100 GLS;2000;11/10/2013;diesel;
IMP/MBENZ 312D SPRINTER M;2000;12/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2009;10/12/2013;diesel;
IMP/KIA BESTA 12P GS;2001;18/02/2014;diesel;
MARCOPOLO/VOLARE ESCOLAR;2002;15/08/2013;diesel;
FIAT/DUCATO 15;2002;04/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2010;12/11/2013;diesel;
M.BENZ/OF 1318;1995;19/11/2013;diesel;
IMP/ASIA TOPIC DLX;1998;10/10/2013;diesel;
I/HYUNDAI H100 GL;1999;14/10/2013;diesel;
I/KIA BESTA GS GRAND;2001;13/09/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2002;19/08/2013;diesel;
FIAT/DUCATO NIKS 16;2003;02/09/2013;diesel;
IMP/FIAT DUCATO COMBINAT;1999;11/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;25/09/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2011;01/08/2013;diesel;
FIAT/DUCATO MINIBUS;2012;16/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2009;22/11/2013;diesel;
M.BENZ/LO 814;1997;16/12/2013;diesel;
FIAT/DUCAMA FFORMA MIC23;2011;18/11/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2009;14/11/2013;diesel;
RENAULT/MAST MARTICAR 19;2007;03/02/2014;diesel;
PEUGEOT/BOXER FFBM 32;2007;07/02/2014;diesel;
FIAT/DUCATO MINIBUS;2013;31/01/2014;diesel;
MARCOPOLO/VOLARE W9 ESC;2011;20/08/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2007;10/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2009;27/11/2013;diesel;
FIAT/DUCATO MUL REVESCAP;2007;09/09/2013;diesel;
FIAT/DUCACOMFFORMA MIC21;2011;04/11/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;02/09/2013;diesel;
FIAT/DUCATO COMBINATO;2010;25/10/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2008;05/09/2013;diesel;
RENAULT/MASTER EUROLAF P;2010;24/09/2013;diesel;
PEUGEOT/BOXER M330M 23S;2009;17/09/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2004;07/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;16/10/2013;diesel;
PEUGEOT/BOXER 16 LUG;2003;18/09/2013;diesel;
FIAT/DUCACOMFFORMA MIC21;2001;18/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2009;21/11/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;19/12/2013;diesel;
RENAULT/MASTER EUR ESCL2;2013;17/01/2014;diesel;
I/KIA BESTA GS GRAND;2000;21/11/2013;diesel;
IMP/KIA BESTA 12P GS;2001;17/12/2013;diesel;
FIAT/DUCATO FABUSFORMA;2012;24/10/2013;diesel;
I/KIA BESTA GS GRAND;2000;18/10/2013;diesel;
MARCOPOLO/VOLARE LOTACAO;2000;20/12/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2008;25/10/2013;diesel;
FIAT/DUCA15 FFORMA MIC20;2010;23/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;23/10/2013;diesel;
RENAULT/MASTER BUS16 DCI;2010;08/11/2013;diesel;
FIAT/DUCATO COMBINATO;2004;03/02/2014;diesel;
I/HYUNDAI H100 GLS;2002;03/02/2014;diesel;
I/HYUNDAI H100 GLS;2001;18/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;10/12/2013;diesel;
I/M.BENZ413CDI SPRINTERM;2006;01/10/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;04/11/2013;diesel;
I/JINBEI TOPIC L;2012;31/01/2014;gasolina;
VW/KOMBI ESCOLAR;2009;08/10/2013;álcool/gasolina;
I/KIA BESTA GS GRAND2;2005;12/09/2013;diesel;
FIAT/DUCATO NIKS MIC 20;2010;20/08/2013;diesel;
FIAT/DUCATO MINIBUS;2011;02/10/2013;diesel;
FIAT/DUCATO MINIBUS;2007;11/02/2014;diesel;
I/KIA BESTA GS GRAND;2001;18/02/2014;diesel;
;;08/10/2013;;
I/M.BENZ413CDI REVESCAPM;2011;16/08/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2010;26/12/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2002;21/10/2013;diesel;
I/KIA BESTA GS GRAND;2000;10/09/2013;diesel;
FIAT/DUCATO FABUSFORMA;2013;18/02/2014;diesel;
I/HYUNDAI H100 GLS;2004;04/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2010;18/12/2013;diesel;
FIAT/DUCATO MINIBUS;2010;19/02/2014;diesel;
CITROEN/JUMPER MBS 33M16;2005;23/12/2013;diesel;
FIAT/DUCATO MINIBUS;2002;28/08/2013;diesel;
PEUGEOT/BOXER M330M 23S;2013;17/01/2014;diesel;
FIAT/DUCATO FABUSFORMA;2012;06/02/2014;diesel;
CITROEN/JUMPER M33M HDI;2007;10/02/2014;diesel;
I/CITROEN JUMPER 320M;2001;06/11/2012;diesel;
FIAT/DUCATO NIKS MULT 16;2009;08/10/2013;diesel;
PEUGEOT/BOX GREENCAR MO2;2010;18/02/2014;diesel;
I/KIA BESTA GS GRAND;2001;19/12/2013;diesel;
MARCOPOLO/VOLARE W8 ESC;2007;11/12/2013;diesel;
IMP/KIA BESTA 12P GS;1999;07/02/2014;diesel;
MARCOPOLO/VOLARE ESCOLAR;2002;10/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;07/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;27/11/2013;diesel;
RENAULT/MASTER NIKS MO20;2012;12/11/2013;diesel;
MARCOPOLO/VOLARE V6 ON;2009;04/02/2014;diesel;
CITROEN/JUMPER M33M 23S;2010;15/01/2014;diesel;
I/HYUNDAI H1STAREX SVX;2004;11/02/2014;diesel;
FIAT/DUCACOMFFORMA MIC21;2008;07/02/2014;diesel;
IMP/PEUGEOT BOXER 320M 28;2001;23/10/2013;diesel;
