MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
TAXI;752835;25/07/2015;ATIVO;20/08/1942;;5
TAXI;762431;01/02/2017;ATIVO;08/02/1947;18040640;5
TAXI;770337;23/11/2016;ATIVO;;7060025;10
TAXI;775932;16/01/2015;ATIVO;04/03/1922;11040351;5
TAXI;776734;02/04/2016;ATIVO;21/01/1941;2080249;5
TAXI;779636;08/08/2014;ATIVO;12/11/1928;;5
TAXI;781339;09/06/2013;CANCELADO;05/07/1953;;15
TAXI;820032;19/11/2016;ATIVO;18/11/1943;17100810;5
TAXI;833134;22/01/2016;ATIVO;12/04/1937;24000418;10
TAXI;841137;01/09/2009;?BITO;21/09/1932;;10
TAXI;855839;25/07/2018;ATIVO;;20060459;5
TAXI;862835;30/05/2010;?BITO;;23080140;40
TAXI;864030;05/07/2018;ATIVO;13/08/1948;5140030;10
TAXI;888931;27/06/2016;ATIVO;18/08/1934;;10
TAXI;926833;10/01/2019;ATIVO;23/02/1949;23040327;15
TAXI;940933;17/06/2011;?BITO;19/07/1934;2040069;10
TAXI;943630;27/10/2016;ATIVO;;24000850;5
TAXI;944033;24/02/2017;ATIVO;30/03/1947;7060084;5
TAXI;958735;15/10/2015;ATIVO;08/11/1941;;50
TAXI;971332;01/12/2014;ATIVO;30/01/1945;17120730;5
TAXI;1062433;07/11/2012;CASSADO;20/04/1940;;60
TAXI;1071432;04/01/2017;?BITO;;17040477;10
TAXI;1087932;21/05/2014;ATIVO;25/12/1943;18040195;10
TAXI;1089536;29/09/2014;ATIVO;23/10/1932;17040353;15
TAXI;1096737;30/04/2016;ATIVO;29/09/1919;11060026;5
TAXI;1170430;10/05/2016;ATIVO;19/06/1930;11080027;5
TAXI;1173839;30/07/2016;ATIVO;30/04/1938;17040639;5
TAXI;1174231;14/07/2014;ATIVO;;18040381;5
TAXI;1211439;24/07/2015;ATIVO;28/08/1929;11040270;10
TAXI;1241532;31/01/2017;ATIVO;;24001910;5
TAXI;1261835;29/01/2017;ATIVO;24/12/1935;24000604;10
TAXI;1269437;25/08/2012;?BITO;;17140188;15
TAXI;1281631;16/10/2014;ATIVO;12/12/1944;12100226;10
TAXI;1290630;07/06/2014;ATIVO;06/09/1940;;10
TAXI;1292137;24/10/2015;ATIVO;24/11/1933;3040461;5
TAXI;1313339;14/12/2016;ATIVO;30/08/1938;11120029;20
TAXI;1317237;14/07/2014;ATIVO;19/09/1944;18020259;10
TAXI;1339133;21/09/2015;ATIVO;09/11/1950;18080812;10
TAXI;1344331;21/05/2014;ATIVO;01/06/1938;11040254;10
TAXI;1344536;06/12/2015;ATIVO;;24000809;5
TAXI;1346130;24/05/2015;ATIVO;06/08/1932;3040313;10
TAXI;1367838;07/06/2016;ATIVO;04/10/1934;11120037;5
