MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
TAXI;5706734;18/12/2014;ATIVO;17/01/1950;2060027;10
TAXI;5723035;30/03/2014;ATIVO;30/03/1938;20060867;20
TAXI;5723531;12/08/2016;ATIVO;29/06/1948;;10
TAXI;5736838;30/01/2016;ATIVO;26/07/1944;;10
TAXI;5752833;30/04/2017;?BITO;06/05/1957;;5
TAXI;5763436;18/01/2015;ATIVO;02/02/1948;;5
TAXI;5774330;20/01/2016;ATIVO;05/12/1955;12040100;5
TAXI;5778034;18/06/2017;ATIVO;12/07/1947;23100060;10
TAXI;5787238;18/10/2015;ATIVO;;;15
TAXI;5794730;02/06/2015;ATIVO;07/08/1940;17040183;10
TAXI;5801133;19/05/2014;ATIVO;07/12/1944;24000205;10
TAXI;5819938;09/09/2013;?BITO;;20060831;5
TAXI;5824338;16/07/2014;ATIVO;09/11/1954;;5
TAXI;5832039;15/10/2016;ATIVO;;20020228;10
TAXI;5836239;04/02/2016;ATIVO;10/04/1946;24000833;10
TAXI;5847036;14/05/2015;ATIVO;27/02/1950;17060281;10
TAXI;5857333;14/09/2014;ATIVO;01/11/1949;;20
TAXI;5871336;17/12/1978;CANCELADO;;;20
TAXI;5873630;04/11/2014;ATIVO;24/08/1954;17060524;5
TAXI;5881838;25/09/2018;ATIVO;29/07/1953;;5
TAXI;5886139;17/09/2017;ATIVO;;;5
TAXI;5891930;16/04/2018;ATIVO;31/12/1949;;5
TAXI;5897831;09/02/2016;ATIVO;30/12/1955;11060433;10
TAXI;5901030;25/07/2016;ATIVO;16/08/1950;17040035;5
TAXI;5903238;22/02/2015;ATIVO;08/03/1943;20020180;10
TAXI;5907438;06/04/2016;ATIVO;20/04/1948;24000442;5
TAXI;5910331;05/02/2015;ATIVO;26/06/1968;18040209;10
TAXI;5919436;03/03/2015;ATIVO;08/05/1955;24000892;5
TAXI;5951232;27/04/2016;ATIVO;31/05/1956;17040205;5
TAXI;5967538;25/07/2015;ATIVO;19/09/1944;20080387;5
TAXI;5969735;09/06/2014;ATIVO;13/05/1953;7060084;20
TAXI;5972132;03/03/2015;ATIVO;20/03/1955;16160010;10
TAXI;5975735;22/05/2014;ATIVO;28/08/1954;;10
TAXI;5985439;26/03/2016;ATIVO;04/03/1934;2040069;15
TAXI;5998832;15/12/2015;ATIVO;15/02/1951;11120037;5
TAXI;6006930;29/06/2017;?BITO;09/07/1952;4100026;10
TAXI;6010130;15/04/2016;ATIVO;22/06/1933;2060078;20
TAXI;6012337;17/09/2016;ATIVO;06/11/1951;16160010;5
TAXI;6021832;25/11/2014;BLOQUEADO;20/01/1950;;30
TAXI;6032133;02/10/2014;ATIVO;30/06/1936;;5
TAXI;6046436;10/05/2017;ATIVO;05/06/1947;7180101;10
TAXI;6047831;19/02/2018;ATIVO;21/03/1953;20060033;5
TAXI;6057039;21/10/2015;ATIVO;15/11/1955;18040080;5
TAXI;6062733;27/06/2018;ATIVO;07/09/1948;11100222;5
TAXI;6063039;18/04/2008;CANCELADO;18/04/1938;;60
TAXI;6063730;09/04/2017;ATIVO;08/04/1955;;10
TAXI;6074537;28/05/2013;CANCELADO;22/05/1936;24000086;15
TAXI;6128238;28/04/2016;ATIVO;22/05/1954;;95
TAXI;6132537;13/08/2018;BLOQUEADO;28/10/1958;12120022;60
TAXI;6137830;12/05/2015;ATIVO;26/02/1952;3040364;10
TAXI;6142133;01/10/2018;ATIVO;03/12/1948;17040183;10
TAXI;6142532;10/08/2015;ATIVO;13/11/1940;;5
TAXI;6163238;26/04/2015;ATIVO;24/08/1955;2120224;5
TAXI;6170137;03/06/2018;ATIVO;23/06/1950;17080495;10
TAXI;6182534;18/01/2017;ATIVO;04/02/1952;;5
TAXI;6190332;24/05/2017;ATIVO;;;10
TAXI;6191738;22/03/2017;ATIVO;12/04/1952;;5
TAXI;6206530;22/11/2014;ATIVO;14/01/1936;24000809;10
TAXI;6231632;07/03/2017;ATIVO;17/01/1957;11040270;10
TAXI;6239935;11/09/2015;ATIVO;21/11/1941;6140076;10
TAXI;6244130;26/05/2014;ATIVO;;18040195;5
TAXI;6246133;08/03/2018;ATIVO;06/03/1951;;5
TAXI;6252338;06/10/2015;BLOQUEADO;22/12/1904;23080043;35
TAXI;6261736;26/03/2015;ATIVO;;18080162;10
TAXI;6280536;30/05/2017;ATIVO;10/06/1950;;10
TAXI;6284930;04/08/2015;ATIVO;22/05/1958;;10
TAXI;6287336;17/03/2015;ATIVO;20/04/1955;;20
TAXI;6289134;10/09/2018;ATIVO;25/10/1948;17060265;5
TAXI;6299938;02/02/2015;ATIVO;13/02/1938;;10
TAXI;6305431;06/11/2018;ATIVO;10/12/1953;20080131;5
TAXI;6320732;27/12/2008;CANCELADO;27/12/1953;2120143;10
TAXI;6335837;06/08/2014;ATIVO;03/08/1946;17060400;5
TAXI;6350330;08/02/2016;ATIVO;16/03/1946;;10
TAXI;6351239;09/12/2014;ATIVO;22/01/1950;;10
TAXI;6365035;12/02/2014;ATIVO;22/02/1943;11020253;10
TAXI;6373038;14/12/2016;ATIVO;26/01/1952;11020288;5
TAXI;6380433;25/08/2015;ATIVO;22/09/1950;11080310;10
TAXI;6381138;25/05/2016;ATIVO;12/05/1948;18080448;10
TAXI;6393330;26/11/2017;ATIVO;30/01/1954;11060034;20
TAXI;6407030;07/10/2018;BLOQUEADO;06/04/1953;2040093;10
TAXI;6417434;02/12/2015;ATIVO;02/12/1950;12020079;5
TAXI;6455131;08/11/2015;ATIVO;02/01/1952;21080054;5
TAXI;6460330;03/04/2018;ATIVO;12/06/1964;2040093;15
TAXI;6464238;19/09/2018;ATIVO;16/10/1951;;10
TAXI;6464432;05/10/2015;ATIVO;18/11/1926;7060084;5
TAXI;6471331;12/04/2015;ATIVO;05/03/1939;;15
TAXI;6480233;29/09/2014;ATIVO;;20040342;10
TAXI;6485430;29/12/2017;ATIVO;09/02/1952;24000469;5
TAXI;6500536;16/06/2012;CANCELADO;25/06/1957;2120275;5
TAXI;6505635;15/02/2015;ATIVO;25/03/1943;;10
TAXI;6508731;27/07/2017;ATIVO;07/09/1947;18140335;5
TAXI;6535437;03/07/2014;ATIVO;23/07/1949;;5
TAXI;6537235;31/08/2015;ATIVO;02/09/1944;2040069;10
TAXI;6539130;01/03/2016;ATIVO;;;5
TAXI;6539734;26/08/2016;ATIVO;02/07/1951;;5
TAXI;6551033;11/03/2015;ATIVO;06/09/1950;;10
TAXI;6561330;19/05/2014;?BITO;20/06/1959;12040371;10
TAXI;6568831;23/09/2014;ATIVO;;;10
TAXI;6610838;01/10/2013;CANCELADO;08/07/1953;11020040;10
TAXI;6621430;01/10/2014;ATIVO;03/11/1954;18040195;5
TAXI;6624537;14/01/2018;ATIVO;24/01/1958;24000469;15
TAXI;6644236;08/10/2014;ATIVO;21/10/1954;20040024;10
TAXI;6653731;25/04/2016;ATIVO;15/05/1956;;15
TAXI;6655831;31/08/2017;ATIVO;;;5
TAXI;6678238;01/04/2015;ATIVO;11/12/1949;11120037;5
TAXI;6689337;28/10/2013;CANCELADO;20/11/1948;1060201;5
TAXI;6695930;11/05/2016;ATIVO;01/06/1934;;20
TAXI;6703038;12/07/2015;ATIVO;15/08/1955;23040327;5
TAXI;6703631;25/09/2009;?BITO;31/10/1941;;10
TAXI;6716130;26/04/2015;ATIVO;20/05/1950;4080041;10
TAXI;6723136;06/05/2014;ATIVO;;18100058;10
TAXI;6723438;19/12/2015;?BITO;01/09/1932;17080819;5
TAXI;6738435;19/10/2016;ATIVO;;11020253;10
TAXI;6753639;22/01/2015;ATIVO;09/12/1949;17100283;5
TAXI;6756433;12/08/2018;ATIVO;27/06/1949;;5
TAXI;6766935;01/03/2016;ATIVO;13/04/1942;24000183;15
TAXI;6783830;31/05/2016;ATIVO;14/09/1956;;5
TAXI;6831133;06/10/2015;ATIVO;13/10/1945;20040342;30
TAXI;6835236;11/04/2011;CANCELADO;27/04/1946;2100010;20
TAXI;6847331;17/01/2017;ATIVO;26/02/1944;6140076;10
TAXI;6851339;29/11/2015;ATIVO;29/04/1945;12060100;5
TAXI;6856730;27/06/2018;ATIVO;08/09/1953;;10
TAXI;6866735;17/11/2015;ATIVO;23/12/1953;24000795;10
TAXI;6875637;25/05/2014;ATIVO;19/06/1944;7100132;5
TAXI;6880037;22/02/2014;ATIVO;25/11/1945;20060068;15
TAXI;6881939;02/10/2016;ATIVO;04/11/1940;;5
TAXI;6886434;29/04/2018;ATIVO;25/06/1948;7060084;5
TAXI;6911439;22/03/2016;ATIVO;18/03/1956;;5
TAXI;6915930;02/08/2016;ATIVO;15/05/1948;;5
TAXI;6918832;11/11/2016;ATIVO;21/08/1943;;10
TAXI;6931839;11/11/2014;ATIVO;22/10/1954;;5
TAXI;6932738;13/12/2017;ATIVO;09/12/1951;1040014;5
TAXI;6933335;11/07/2014;BLOQUEADO;28/01/1946;;150
TAXI;6935036;11/10/2018;ATIVO;;20040342;5
TAXI;6938132;07/06/2016;ATIVO;;;5
TAXI;6939430;30/07/2015;ATIVO;;20060084;5
TAXI;6944132;08/01/2017;ATIVO;;10100067;5
TAXI;6955339;29/03/2015;?BITO;07/04/1955;12040223;5
TAXI;6968031;12/12/2013;CANCELADO;;17120730;5
TAXI;6968635;02/09/2014;ATIVO;28/03/1941;;20
TAXI;7004834;26/01/2015;ATIVO;04/04/1950;18020259;5
TAXI;7023634;05/10/2015;ATIVO;;;10
TAXI;7049730;07/06/2018;ATIVO;05/07/1953;18040195;5
TAXI;7065337;08/10/2014;ATIVO;12/10/1954;2120100;10
TAXI;7069430;10/05/2015;ATIVO;;12060240;5
TAXI;7087535;23/04/2018;ATIVO;11/05/1953;;10
TAXI;7118430;08/04/2018;ATIVO;08/05/1953;;10
TAXI;7119232;04/02/2016;ATIVO;07/04/1956;16160010;5
TAXI;7119437;05/06/2017;ATIVO;20/02/1952;;25
TAXI;7154330;28/03/2014;ATIVO;21/05/1941;;10
TAXI;7163835;03/10/2017;ATIVO;26/10/1947;24000973;5
TAXI;7165030;19/07/2018;ATIVO;24/05/1952;;10
TAXI;7167334;05/04/2017;ATIVO;;18080707;10
TAXI;7167431;23/05/2017;ATIVO;26/06/1952;;10
TAXI;7176139;08/05/2014;ATIVO;16/05/1949;17040035;5
TAXI;7182236;07/10/2014;ATIVO;16/12/1944;;5
TAXI;7192932;27/01/2017;ATIVO;14/01/1957;24000841;5
TAXI;7201036;28/08/2017;ATIVO;;24000817;5
TAXI;7227833;13/07/2014;ATIVO;19/06/1968;17080037;10
TAXI;7240635;07/07/2015;?BITO;21/08/1945;11020296;5
TAXI;7256833;23/06/2015;ATIVO;;24000477;5
TAXI;7275137;17/12/2016;ATIVO;17/11/1953;20080212;5
TAXI;7276630;10/05/2015;ATIVO;;;10
TAXI;7283237;16/03/2015;ATIVO;20/06/1945;11040270;10
TAXI;7291132;20/06/2014;ATIVO;13/08/1935;24000361;10
TAXI;7292236;22/12/2016;ATIVO;06/01/1952;17081379;5
TAXI;7306237;03/01/2016;ATIVO;04/01/1951;17020042;10
TAXI;7312733;01/10/2014;ATIVO;15/10/1952;17120322;5
TAXI;7331738;08/01/2019;ATIVO;11/07/1957;;5
TAXI;7339933;28/06/2017;ATIVO;05/08/1957;24000809;5
TAXI;7340834;19/01/2018;ATIVO;08/02/1953;12100226;5
TAXI;7348835;01/11/2016;ATIVO;09/12/1951;20020031;5
TAXI;7349637;01/02/2015;ATIVO;05/03/1950;17080622;5
TAXI;7350830;18/03/2010;?BITO;;;10
TAXI;7351232;13/09/2018;ATIVO;08/08/1949;24000868;5
TAXI;7354630;18/06/2015;ATIVO;04/07/1955;;10
TAXI;7366639;19/03/2013;CANCELADO;15/03/1951;7060084;30
TAXI;7377436;10/12/2015;ATIVO;04/01/1953;24000973;5
TAXI;7394535;16/09/2016;ATIVO;;23040327;10
TAXI;7397038;28/02/2017;ATIVO;02/04/1957;;10
TAXI;7405537;22/10/2015;ATIVO;14/11/1950;2040069;5
TAXI;7407238;04/01/2019;ATIVO;23/12/1958;11020245;20
TAXI;7418930;28/07/2014;ATIVO;06/09/1959;;10
TAXI;7421931;04/10/2017;ATIVO;;17040035;5
TAXI;7422539;22/03/2017;ATIVO;19/03/1957;18080065;5
TAXI;7433735;21/10/2015;ATIVO;12/11/1945;;10
TAXI;7439733;05/03/2015;ATIVO;28/05/1945;18060145;5
TAXI;7445539;05/05/2014;ATIVO;03/05/1954;12100226;10
TAXI;7451938;08/04/2014;ATIVO;02/05/1959;17100410;5
TAXI;7452837;29/12/2017;ATIVO;12/02/1948;17040051;5
TAXI;7455038;21/11/2014;ATIVO;04/01/1930;1060058;10
TAXI;7457332;05/02/2017;ATIVO;;24000116;10
TAXI;7461135;07/12/2008;CANCELADO;07/12/1952;;80
TAXI;7477538;08/11/2016;ATIVO;;2100088;10
TAXI;7486634;08/11/2015;ATIVO;19/07/1944;;10
TAXI;7490232;13/03/2015;ATIVO;17/03/1942;24001562;10
TAXI;7499639;15/12/2016;ATIVO;09/02/1947;18080073;10
TAXI;7511434;16/11/2017;ATIVO;25/12/1952;11020202;5
TAXI;7512031;27/01/2019;ATIVO;09/03/1949;;10
TAXI;7525737;14/12/2016;ATIVO;28/11/1955;;5
TAXI;7532636;15/04/2016;ATIVO;30/05/1946;7060084;5
TAXI;7538936;09/11/1988;CANCELADO;;;20
TAXI;7554931;17/12/2018;ATIVO;15/02/1954;24000639;10
TAXI;7595131;20/05/2016;ATIVO;29/06/1943;;10
TAXI;7597037;08/12/2017;ATIVO;05/02/1954;24000680;5
TAXI;7606338;30/11/2015;ATIVO;16/01/1944;11060182;5
TAXI;7608535;21/07/2015;ATIVO;28/01/1952;11040505;5
TAXI;7610238;12/03/2016;ATIVO;;24001686;10
TAXI;7610335;25/06/2018;ATIVO;12/09/1958;16160010;5
TAXI;7610831;02/03/2015;ATIVO;05/04/1945;18080324;10
TAXI;7611730;18/12/2017;ATIVO;03/02/1948;16160010;5
TAXI;7618930;16/01/2017;ATIVO;08/02/1931;12040347;10
TAXI;7626630;08/03/2015;ATIVO;27/03/1955;24000698;5
TAXI;7629338;09/06/2016;ATIVO;18/11/1955;;15
TAXI;7642636;02/06/2015;ATIVO;16/07/1955;24000205;10
TAXI;7647239;02/07/2017;ATIVO;28/07/1952;20040270;10
TAXI;7648138;03/06/2016;ATIVO;22/12/1950;;5
TAXI;7652933;12/08/2018;ATIVO;12/07/1953;12120022;5
TAXI;7653433;18/05/2015;ATIVO;30/06/1955;24000647;10
TAXI;7654936;13/02/2017;ATIVO;08/03/1952;17081254;5
TAXI;7657935;03/02/2019;ATIVO;06/03/1959;17100020;5
TAXI;7663730;23/02/2018;ATIVO;08/04/1953;;35
TAXI;7669534;12/11/2017;ATIVO;16/09/1951;24000809;20
TAXI;7679033;11/05/2011;?BITO;19/05/1946;4200039;40
TAXI;7683537;07/11/2017;ATIVO;;17120357;5
TAXI;7686935;21/06/2016;ATIVO;21/08/1936;18080073;30
TAXI;7691432;10/10/2014;ATIVO;21/09/1946;;20
TAXI;7692030;31/03/2017;ATIVO;16/06/1957;;10
TAXI;7695039;27/11/2017;ATIVO;14/07/1957;;15
TAXI;7699336;18/05/2014;ATIVO;;;5
TAXI;7701039;08/11/2018;ATIVO;;24000272;5
TAXI;7748736;13/06/2016;ATIVO;;3080064;10
TAXI;7751931;14/06/2016;ATIVO;26/02/1961;;5
TAXI;7755830;03/03/2016;ATIVO;22/02/1956;17080886;5
TAXI;7758634;07/10/2016;ATIVO;06/08/1948;24000205;10
TAXI;7770030;20/04/2015;ATIVO;19/03/1955;18080065;10
TAXI;7782837;04/01/2015;ATIVO;25/01/1953;;20
TAXI;7786131;11/03/2018;ATIVO;11/04/1953;18060080;10
TAXI;7796536;17/10/2016;ATIVO;26/10/1956;9100016;5
TAXI;7797737;03/02/2016;ATIVO;03/03/1946;;5
TAXI;7806639;11/12/2011;CANCELADO;;17020034;5
TAXI;7815735;26/03/2017;ATIVO;;23060158;10
TAXI;7818238;24/08/2016;ATIVO;;24000620;5
TAXI;7819838;21/02/2015;ATIVO;21/02/1935;19120095;10
TAXI;7824734;25/11/2014;ATIVO;17/12/1945;;5
TAXI;7832435;21/01/2017;ATIVO;08/02/1957;;5
TAXI;7853432;28/03/2017;ATIVO;11/01/1952;20040466;5
TAXI;7878931;16/09/2016;ATIVO;19/09/1943;18060145;10
TAXI;7884532;26/12/2017;BLOQUEADO;25/10/1957;18080065;20
TAXI;7911831;08/12/2016;ATIVO;01/01/1947;20040407;5
TAXI;7919336;12/03/2014;ATIVO;20/03/1954;;10
TAXI;7919930;23/10/2018;ATIVO;;18040195;10
TAXI;7924739;30/11/2014;ATIVO;08/11/1953;;5
TAXI;7926030;08/11/2016;ATIVO;;17120730;5
TAXI;7929439;26/04/2015;ATIVO;22/06/1955;24000558;10
TAXI;7940637;19/09/2015;ATIVO;13/10/1938;12040541;10
TAXI;7944632;07/07/2014;ATIVO;09/09/1959;23060131;5
TAXI;7947933;03/03/2014;ATIVO;11/09/1961;10120492;5
TAXI;7949138;12/04/2016;ATIVO;06/05/1946;17040213;5
TAXI;7949235;14/07/2014;ATIVO;14/09/1959;17100437;5
TAXI;7951639;20/01/2016;ATIVO;22/03/1956;10120492;10
TAXI;7952635;28/05/2002;CANCELADO;;18100058;5
TAXI;7956932;15/05/2017;BLOQUEADO;29/03/1952;18040535;15
TAXI;7969830;09/06/2013;CANCELADO;02/05/1948;;10
TAXI;7970234;02/10/2015;ATIVO;18/11/1937;17100240;5
TAXI;7975031;12/08/2016;ATIVO;14/09/1946;18040209;10
TAXI;7990634;05/01/2014;?BITO;11/01/1935;;5
TAXI;8003238;04/01/2019;ATIVO;01/02/1954;13140167;5
TAXI;8013632;01/03/2015;ATIVO;22/02/1952;;45
TAXI;8052433;18/03/2015;ATIVO;13/04/1945;2040069;15
TAXI;8090033;13/07/2016;ATIVO;12/09/1951;3080064;15
TAXI;8090831;27/01/2015;ATIVO;25/02/1955;12120022;5
TAXI;8094330;15/10/2015;ATIVO;20/09/1943;18040136;10
TAXI;8094730;20/07/2014;ATIVO;;17080231;15
TAXI;8109338;21/02/2016;ATIVO;13/04/1951;17040124;5
TAXI;8117837;19/04/2017;ATIVO;;8020043;10
TAXI;8122431;08/05/2017;ATIVO;12/06/1957;8060061;5
TAXI;8124035;19/12/2016;ATIVO;25/05/1948;;10
TAXI;8141037;18/03/2014;ATIVO;15/04/1954;18080324;5
TAXI;8143633;07/08/2011;CANCELADO;;24000582;10
TAXI;8176035;03/02/2017;ATIVO;22/03/1950;12040207;5
TAXI;8179239;03/09/2015;ATIVO;20/09/1955;1040014;5
TAXI;8183139;09/04/2017;ATIVO;01/05/1957;23080027;10
TAXI;8186430;27/08/2014;?BITO;17/09/1954;;20
TAXI;8189633;04/03/2015;ATIVO;21/08/1950;;20
TAXI;8191930;16/01/2018;ATIVO;17/02/1948;11040300;5
TAXI;8192936;20/07/2010;?BITO;03/08/1955;2080249;10
TAXI;8200637;14/11/2018;ATIVO;14/01/1953;24001279;10
TAXI;8231435;23/07/2018;ATIVO;13/08/1958;23040050;5
TAXI;8235139;19/10/2015;ATIVO;10/12/1950;4180038;5
TAXI;8240337;27/09/2013;CANCELADO;30/08/1951;6160018;5
TAXI;8251134;18/12/2017;ATIVO;;17120322;10
TAXI;8252335;23/05/1989;CASSADO;;;20
TAXI;8258635;20/08/2015;ATIVO;26/08/1952;;5
TAXI;8258937;03/11/2016;ATIVO;08/07/1951;12060291;50
TAXI;8261830;22/12/2014;ATIVO;05/02/1955;24001287;5
TAXI;8264635;21/05/2017;ATIVO;05/04/1962;11040432;10
TAXI;8265330;03/04/2018;ATIVO;26/04/1958;;15
TAXI;8267936;04/01/2015;ATIVO;17/12/1958;;60
TAXI;8269734;23/01/2019;ATIVO;;17120357;5
TAXI;8278237;07/11/2011;?BITO;18/11/1961;;10
TAXI;8279438;01/06/2017;ATIVO;28/06/1952;23100028;10
TAXI;8282935;25/11/2016;ATIVO;;8060215;10
TAXI;8284539;23/03/2014;ATIVO;22/04/1959;;10
TAXI;8293236;19/09/2016;ATIVO;24/11/1951;;10
TAXI;8300330;10/03/2011;CASSADO;12/03/1956;;280
TAXI;8324832;29/07/2015;ATIVO;03/09/1960;24000272;5
TAXI;8328730;07/01/2015;ATIVO;04/05/1932;;10
TAXI;8332738;13/11/2015;BLOQUEADO;01/01/1944;10100040;10
TAXI;8346038;03/03/2013;CANCELADO;21/11/1962;;10
TAXI;8346534;13/05/2018;ATIVO;01/06/1958;7080085;10
TAXI;8347433;14/11/2018;ATIVO;02/01/1954;;10
TAXI;8351236;12/09/2015;ATIVO;29/08/1943;;10
TAXI;8361932;16/06/2015;ATIVO;;24000086;10
TAXI;8377936;15/10/2013;CANCELADO;15/11/1948;20060068;15
TAXI;8381232;06/06/2016;ATIVO;09/06/1956;21080100;10
TAXI;8381739;21/06/2015;BLOQUEADO;12/08/1950;4020014;10
TAXI;8383332;20/07/2015;ATIVO;29/07/1955;24001910;10
TAXI;8398330;22/07/2014;ATIVO;13/08/1952;18020062;10
TAXI;8403635;14/07/2015;ATIVO;10/08/1945;24000027;5
TAXI;8419035;29/03/2015;ATIVO;19/07/1950;;5
TAXI;8419337;18/03/2015;ATIVO;15/05/1960;;10
TAXI;8423636;27/08/2018;ATIVO;;12120022;10
TAXI;8428336;19/12/2017;ATIVO;19/01/1953;23040319;15
TAXI;8435936;30/03/2014;ATIVO;08/05/1949;23040181;5
TAXI;8436738;06/03/2018;ATIVO;25/03/1958;;20
TAXI;8437637;12/01/2016;ATIVO;04/03/1961;19080042;5
TAXI;8446539;21/08/2017;ATIVO;29/09/1962;;5
TAXI;8449031;01/08/2016;ATIVO;09/09/1901;17060516;5
TAXI;8460639;25/09/2015;ATIVO;22/08/1943;18040020;5
TAXI;8464138;30/05/2016;ATIVO;;6100015;10
TAXI;8466238;03/08/2016;ATIVO;20/05/1956;;10
TAXI;8474834;17/05/2016;ATIVO;12/07/1937;3040275;5
TAXI;8479330;30/07/2018;ATIVO;01/09/1953;;10
TAXI;8479437;05/11/2016;ATIVO;02/01/1942;12040118;5
TAXI;8482233;18/05/2015;ATIVO;05/06/1955;20060556;10
TAXI;8485232;31/03/2017;ATIVO;18/05/1955;11120037;5
TAXI;8488037;18/08/2014;ATIVO;01/09/1944;18060072;10
TAXI;8508631;30/05/2014;ATIVO;22/06/1954;12040045;5
TAXI;8511233;11/11/2018;ATIVO;02/11/1954;24000841;5
TAXI;8512035;11/11/2015;ATIVO;06/11/1953;17080487;5
TAXI;8519730;19/03/2015;ATIVO;11/04/1948;;5
TAXI;8520631;12/04/2016;ATIVO;01/05/1946;24001350;10
TAXI;8529132;17/09/2014;ATIVO;15/09/1958;17060524;5
TAXI;8531137;02/05/2018;ATIVO;29/05/1953;21120161;5
TAXI;8532435;27/05/2015;ATIVO;01/09/1944;;10
TAXI;8543933;27/07/2015;ATIVO;12/09/1944;8040095;5
TAXI;8554030;25/11/2016;ATIVO;25/12/1951;2040069;5
TAXI;8556032;18/05/2014;ATIVO;24/06/1959;;10
TAXI;8585938;09/02/2014;ATIVO;29/03/1934;2040069;5
TAXI;8588635;05/06/2018;ATIVO;18/08/1959;1040014;5
TAXI;8589739;05/03/2014;ATIVO;22/03/1954;24001325;10
TAXI;8593132;26/02/2018;ATIVO;25/02/1951;;5
TAXI;8604533;13/09/2016;ATIVO;20/04/1948;;10
TAXI;8613737;13/04/2016;ATIVO;20/04/1956;;20
TAXI;8614830;07/06/2018;ATIVO;23/10/1949;20060700;5
TAXI;8636931;17/07/2017;ATIVO;22/08/1952;2040069;5
TAXI;8646732;03/05/2014;?BITO;17/06/1931;11120037;15
TAXI;8658935;11/09/2017;ATIVO;22/10/1947;24000698;10
TAXI;8660735;03/05/2017;ATIVO;11/05/1947;;5
TAXI;8666733;26/04/2015;ATIVO;15/06/1950;;10
TAXI;8668035;22/06/2014;ATIVO;05/04/1954;17100100;10
TAXI;8670439;16/05/2014;ATIVO;04/06/1949;16160010;5
TAXI;8677034;18/12/2013;CANCELADO;15/12/1957;;5
TAXI;8683638;20/09/2016;ATIVO;18/07/1950;;10
TAXI;8684839;30/07/2018;ATIVO;31/08/1948;3040313;10
TAXI;8687331;19/09/2017;ATIVO;29/10/1952;23100028;10
TAXI;8691630;07/01/2014;?BITO;30/01/1949;2060027;5
TAXI;8694133;21/05/2015;ATIVO;07/06/1951;;5
TAXI;8696233;08/06/2014;ATIVO;19/07/1949;10100016;10
TAXI;8699038;04/06/2013;CANCELADO;05/07/1939;24000051;5
TAXI;8706336;24/07/2018;ATIVO;30/06/1963;;5
TAXI;8720533;03/09/2016;ATIVO;21/09/1951;17120730;5
TAXI;8728038;04/09/2014;ATIVO;08/10/1944;23020172;10
TAXI;8742030;12/04/2015;ATIVO;19/05/1950;12040096;5
TAXI;8744734;06/12/2016;ATIVO;20/12/1961;22100059;20
TAXI;8747237;21/10/2018;ATIVO;06/05/1963;;10
TAXI;8756031;08/12/2016;ATIVO;04/02/1955;24000973;5
TAXI;8757437;18/03/2018;ATIVO;02/05/1948;2060078;10
TAXI;8780137;22/08/2018;ATIVO;;2040069;5
TAXI;8781834;20/02/2018;ATIVO;28/03/1948;18080065;5
TAXI;8782130;03/08/2014;ATIVO;07/08/1958;17040639;10
TAXI;8783233;30/03/2014;ATIVO;;20040016;5
TAXI;8793336;08/04/2015;ATIVO;22/04/1945;17080827;10
TAXI;8800030;11/07/2014;ATIVO;15/06/1946;18040195;5
TAXI;8814830;27/08/2018;ATIVO;;17100070;30
TAXI;8819335;27/09/2018;ATIVO;05/03/1958;20041365;35
TAXI;8823839;26/10/2016;ATIVO;09/05/1951;;5
TAXI;8832935;14/05/2018;ATIVO;21/07/1948;24000850;5
TAXI;8833532;12/03/2017;ATIVO;20/03/1950;;10
TAXI;8835837;21/09/2012;CANCELADO;17/08/1957;;60
TAXI;8855137;26/11/2017;ATIVO;15/01/1949;18040713;10
TAXI;8856133;15/01/2014;CANCELADO;;2040069;10
TAXI;8858330;07/12/2016;ATIVO;;18060161;15
TAXI;8863636;27/04/2015;ATIVO;30/06/1955;1100025;5
TAXI;8871132;09/10/2017;ATIVO;07/10/1962;4180038;5
TAXI;8877335;10/01/2018;ATIVO;;20080034;10
TAXI;8879036;21/05/2014;ATIVO;09/06/1959;7060025;5
TAXI;8883130;16/04/2014;ATIVO;24/04/1954;20040210;5
TAXI;8901937;20/05/2016;ATIVO;30/08/1953;;10
TAXI;8906637;08/12/2014;ATIVO;21/10/1948;;5
TAXI;8914230;15/09/2010;?BITO;;;10
TAXI;8922837;10/01/2019;ATIVO;09/05/1952;24000817;5
TAXI;8944636;28/12/2014;ATIVO;16/11/1958;;100
TAXI;8945330;03/09/2010;CANCELADO;30/09/1955;;5
TAXI;8950636;11/05/2015;ATIVO;14/06/1950;11040360;15
TAXI;8963533;22/05/2016;ATIVO;20/12/1946;;15
TAXI;8967938;06/07/2014;ATIVO;10/06/1953;1040014;10
TAXI;8987530;13/12/2018;ATIVO;;12100226;10
TAXI;8989532;18/04/2014;ATIVO;15/01/1940;;10
TAXI;8990638;02/02/2017;ATIVO;24/03/1957;24000272;5
TAXI;8992835;06/04/2016;ATIVO;17/04/1946;;5
TAXI;9004130;03/08/2016;ATIVO;;7060084;5
TAXI;9004637;07/08/2017;ATIVO;11/06/1956;;10
TAXI;9006036;25/02/2016;ATIVO;12/03/1943;17160863;5
TAXI;9008136;23/07/2015;ATIVO;05/08/1955;;10
TAXI;9012630;27/04/2017;ATIVO;10/04/1962;;10
TAXI;9021337;13/07/2018;ATIVO;;17120730;5
TAXI;9023038;01/03/2017;ATIVO;29/03/1957;20080131;5
