LOCAL_PONTO;NRO_PONTO;SITUACAO;TIPO;CATEGORIA;ENDEREÇO;NRO;CEP;CODLOG;REGIAO;SUBPREFEITURA
1080075;912;ATIVO;PRIVATIVO;COMUM;LUIS LUSTOSA DA SILVA DR, R.;205;2406040;222666;NORTE;SANTANA/TUCURUVI
1080083;1646;ATIVO;PRIVATIVO;COMUM;BASILEIA, AV.;335;2440060;29408;NORTE;SANTANA/TUCURUVI
1080091;2655;ATIVO;PRIVATIVO;COMUM;MIGUEL DELGADO, PÇA;1;2403000;318574;NORTE;SANTANA/TUCURUVI
1080105;779;ATIVO;PRIVATIVO;COMUM;ITAICI, R.;160;2460030;94528;NORTE;SANTANA/TUCURUVI
1080113;816;ATIVO;PRIVATIVO;COMUM;LUIS  LUSTOSA DA SILVA DR, R.;25;2406040;222666;NORTE;SANTANA/TUCURUVI
1080130;1910;ATIVO;PRIVATIVO;COMUM;ROMILDE NOGUEIRA DE SÁ PROF ª, R.;871;2470000;173690;NORTE;SANTANA/TUCURUVI
1080148;1911;ATIVO;PRIVATIVO;COMUM;ALBERTO SAVOY, R.;27;2435110;342912;NORTE;SANTANA/TUCURUVI
1080156;2060;ATIVO;PRIVATIVO;COMUM;GUACA DO, AV.;385;2435000;82384;NORTE;SANTANA/TUCURUVI
1080164;2063;ATIVO;PRIVATIVO;COMUM;GUACA DO, AV.;63;2435001;82384;NORTE;SANTANA/TUCURUVI
1080180;979;ATIVO;PRIVATIVO;COMUM;IZABEL MARIA PARRA, R.;23;2442210;279790;NORTE;SANTANA/TUCURUVI
1080199;2247;ATIVO;PRIVATIVO;COMUM;COPACABANA, R.;385;2461000;52752;NORTE;SANTANA/TUCURUVI
1080202;2322;ATIVO;PRIVATIVO;COMUM;DIOGO BUENO, R.;178;2536070;58963;NORTE;SANTANA/TUCURUVI
1080210;2398;ATIVO;PRIVATIVO;COMUM;ALBERTO COSTA, R.;75;2422040;704199;NORTE;SANTANA/TUCURUVI
1080253;2668;ATIVO;PRIVATIVO;COMUM;JAUARI, R.;111;2462050;681725;NORTE;SANTANA/TUCURUVI
1080261;2801;ATIVO;PRIVATIVO;COMUM;FORTUNATO MINOZZI, R.;24;2540110;72940;NORTE;CASA VERDE/CACHOEIRINHA
1080270;2958;EXTINTO;PRIVATIVO;COMUM;CAETANO ALVARES,ENG AV;5500;2413100;38130;NORTE;SANTANA/TUCURUVI
1080288;2959;EXTINTO;PRIVATIVO;COMUM;CAETANO ALVARES,ENG AV;6000;2413100;38130;NORTE;SANTANA/TUCURUVI
1080297;3016;BLOQUEADO;PRIVATIVO;COMUM;GEORGE CHAHESTIAN, R.;73;2471120;279650;NORTE;SANTANA/TUCURUVI
1085018;;ATIVO;LIVRE;COMUM RADIO;JOSÉ AUGUSTO CÉSAR DR, PÇA;1;2403080;107891;NORTE;SANTANA/TUCURUVI
1085026;;ATIVO;LIVRE;COMUM RADIO;PONTA GROSSA, R.;101;2420010;164771;NORTE;SANTANA/TUCURUVI
1100025;977;ATIVO;PRIVATIVO;COMUM;JOAQUIM LOPES, PÇA;2;2441200;279277;NORTE;SANTANA/TUCURUVI
1100033;1161;ATIVO;PRIVATIVO;COMUM;SANTA INES, AV.;813;2415001;91707;NORTE;SANTANA/TUCURUVI
1100041;1424;ATIVO;PRIVATIVO;COMUM;VAUD, R.;290;2443060;352896;NORTE;SANTANA/TUCURUVI
1100050;1317;ATIVO;PRIVATIVO;COMUM;JOÃO PESSOA, AV.;572;2440050;104205;NORTE;SANTANA/TUCURUVI
1100068;1569;ATIVO;PRIVATIVO;COMUM;SALVADOR TOLEZANO, R.;615;2422160;211338;NORTE;SANTANA/TUCURUVI
1100076;2058;ATIVO;PRIVATIVO;COMUM;GUIDO GIOVANNI ROCCHI, PÇA;3158;2464500;90786;NORTE;CASA VERDE/CACHOEIRINHA
1100084;1215;ATIVO;PRIVATIVO;COMUM;PARADA PINTO, AV.;749;2611003;154261;NORTE;CASA VERDE/CACHOEIRINHA
1100092;1690;ATIVO;PRIVATIVO;COMUM;JOSÉ FERREIRA DE CASTRO, R.;6;2615010;415022;NORTE;CASA VERDE/CACHOEIRINHA
1100106;2091;ATIVO;PRIVATIVO;COMUM;SANTA INÊS, AV.;1199;2415002;91707;NORTE;SANTANA/TUCURUVI
1100114;2093;ATIVO;PRIVATIVO;COMUM;RODRIGUES SETTE DES., R.;184;2634070;173240;NORTE;CASA VERDE/CACHOEIRINHA
1100122;917;ATIVO;PRIVATIVO;COMUM;DOMINGOS GUEDES CABRAL, R.;83;2422190;214086;NORTE;SANTANA/TUCURUVI
1100149;2150;ATIVO;PRIVATIVO;COMUM;GOUVEA FRANCO DEP., R.;10;2422010;81582;NORTE;SANTANA/TUCURUVI
1100157;2180;ATIVO;PRIVATIVO;COMUM;CAXIPO MIRIM, R.;28;2612120;46671;NORTE;CASA VERDE/CACHOEIRINHA
1100165;2776;ATIVO;PRIVATIVO;COMUM;INAJAR DE SOUZA, AV.;5580;2882160;37710;NORTE;CASA VERDE/CACHOEIRINHA
1100173;2868;EXTINTO;PRIVATIVO;COMUM;PARADA PINTO, AV.;1109;2611003;154261;NORTE;CASA VERDE/CACHOEIRINHA
1100190;1298;ATIVO;PRIVATIVO;COMUM;INDIO PERI, R.;22;2632000;91669;NORTE;CASA VERDE/CACHOEIRINHA
1105019;;ATIVO;LIVRE;COMUM RADIO;NOSSA SENHORA CONSOLATA, R.;100;2474060;146927;NORTE;CASA VERDE/CACHOEIRINHA
1120018;1483;ATIVO;PRIVATIVO;COMUM;PERI RONCHETTI , R.;494;2633000;161705;NORTE;CASA VERDE/CACHOEIRINHA
1120034;2348;ATIVO;PRIVATIVO;COMUM;PERI RONCHETTI, AV.;795;2633000;161705;NORTE;CASA VERDE/CACHOEIRINHA
1125088;;ATIVO;LIVRE;COMUM RADIO;AEROPORTO DE CONGONHAS;30;4626020;119091;SUL;SANTO AMARO
2020017;2855;ATIVO;PRIVATIVO;COMUM;ANTONIO DE MELO DOM, R.;38;1105020;16730;CENTRO OESTE;SE
2040026;1948;ATIVO;PRIVATIVO;COMUM;ESTADO DO, AV.;1106;1108000;66427;CENTRO OESTE;SE
2040050;;ATIVO;LIVRE;ESPECIAL;TERMINAL RODOVIÁRIO TIETÊ;2076;2030100;55670;NORTE;SANTANA/TUCURUVI
2040069;763;ATIVO;PRIVATIVO;COMUM;TERMINAL RODOVIÁRIO TIETÊ;2076;2030100;55670;NORTE;SANTANA/TUCURUVI
2040085;2499;ATIVO;PRIVATIVO;COMUM;SANTA EULÁLIA, R.;547;2031020;67814;NORTE;SANTANA/TUCURUVI
2040093;2769;ATIVO;PRIVATIVO;COMUM;ODYLIO DENYS MARECHAL, R.;126;2031050;431494;NORTE;SANTANA/TUCURUVI
2040166;1308;ATIVO;PRIVATIVO;COMUM;OTTO BAUNGART, AV.;500;2049000;413941;NORTE;VILA MARIA/VILA GUILHERME
2060027;1129;ATIVO;PRIVATIVO;COMUM;OTTO BAUMGART, AV.(CENTER NORTE );251;2049000;413941;NORTE;VILA MARIA/VILA GUILHERME
2060078;1238;ATIVO;PRIVATIVO;COMUM;BAIA NO TERMINAL METRO SANTANA;460;2034002;68560;NORTE;SANTANA/TUCURUVI
2060108;2054;ATIVO;PRIVATIVO;COMUM;CRUZEIRO DO SUL, AV.;1299;1109000;55670;NORTE;SANTANA/TUCURUVI
2060116;2124;ATIVO;PRIVATIVO;COMUM;CRUZEIRO DO SUL, AV.;2076;2030000;55670;NORTE;SANTANA/TUCURUVI
2060124;2340;ATIVO;PRIVATIVO;COMUM;JOVITA, R.;543;2036001;112577;NORTE;SANTANA/TUCURUVI
2060140;2606;EXTINTO;PRIVATIVO;COMUM;EZEQUIEL FREIRE, R.;91;2034000;68560;NORTE;SANTANA/TUCURUVI
2060159;2914;EXTINTO;PRIVATIVO;COMUM;PEDRA SABÃO, R.;207;2066120;35181;NORTE;VILA MARIA/VILA GUILHERME
2060167;2923;ATIVO;PRIVATIVO;COMUM;SANTOS DUMONT, AV.;2088;2031100;55670;NORTE;SANTANA/TUCURUVI
2060256;740;ATIVO;PRIVATIVO;COMUM;SANTA VELOSO DONA, R.;600;2050000;177652;NORTE;VILA MARIA/VILA GUILHERME
2060264;1404;ATIVO;PRIVATIVO;COMUM;AMARAL GAMA, R.;39;2018000;9881;NORTE;SANTANA/TUCURUVI
2065010;;ATIVO;LIVRE;COMUM RADIO;MIGUEL MENTEM, R.;299;2050010;139327;NORTE;VILA MARIA/VILA GUILHERME
2065029;;ATIVO;LIVRE;COMUM RADIO;FELIPE GADELHA, R.;133;2012120;284831;NORTE;SANTANA/TUCURUVI
2065037;;ATIVO;LIVRE;COMUM RADIO;SARAIVA CONS., R.;662;2037021;178438;NORTE;SANTANA/TUCURUVI
2065045;;ATIVO;LIVRE;COMUM RADIO;LUIS RAMOS CAP., R.;476;2066011;122904;NORTE;VILA MARIA/VILA GUILHERME
2068052;;ATIVO;;COMUM;SIMIS,  TRAV.;200;2047000;413186;NORTE;VILA MARIA/VILA GUILHERME
2080011;2950;EXTINTO;PRIVATIVO;COMUM;LUIZ DUMONT VILLARES, AV.;600;2085100;360619;NORTE;VILA MARIA/VILA GUILHERME
2080028;1521;ATIVO;PRIVATIVO;COMUM;NOSSA SENHORA DO LORETO, AV.;1135;2219001;147346;NORTE;VILA MARIA/VILA GUILHERME
2080037;2952;EXTINTO;PRIVATIVO;COMUM;LUIZ DUMONT VILLARES, AV;1800;2239000;360619;NORTE;SANTANA/TUCURUVI
2080044;1776;ATIVO;PRIVATIVO;COMUM;CASA FORTE, R.;338;2336040;45292;NORTE;SANTANA/TUCURUVI
2080060;1619;EXTINTO;PRIVATIVO;COMUM;CAETÉ - AÇÚ, R.;39;2302020;271659;NORTE;SANTANA/TUCURUVI
2080079;861;ATIVO;PRIVATIVO;COMUM;CRUZ DE MALTA, R.;467;2248000;55581;NORTE;SANTANA/TUCURUVI
2080095;2009;ATIVO;PRIVATIVO;COMUM;AURELIANO LEAL, R.;551;2334091;25801;NORTE;SANTANA/TUCURUVI
2080109;1716;ATIVO;PRIVATIVO;COMUM;ALBERTO MENDES JR. CAP., R.;287;2335010;204668;NORTE;SANTANA/TUCURUVI
2080117;2295;ATIVO;PRIVATIVO;COMUM;ANTONIO PAIVA SAMPAIO COM., R.;131;2269000;18163;NORTE;SANTANA/TUCURUVI
2080125;701;ATIVO;PRIVATIVO;COMUM;CARLOS DE LAET, R.;94;2041000;43370;NORTE;SANTANA/TUCURUVI
2080133;2157;ATIVO;PRIVATIVO;COMUM;INGLESA, R.;96;2245020;91901;NORTE;SANTANA/TUCURUVI
2080141;863;ATIVO;PRIVATIVO;COMUM;CRISTOVÃO LINS, R.;1014;2083000;55247;NORTE;VILA MARIA/VILA GUILHERME
2080150;2223;ATIVO;PRIVATIVO;COMUM;ALTINÓPOLIS, R.;45;2334000;8354;NORTE;SANTANA/TUCURUVI
2080168;2225;ATIVO;PRIVATIVO;COMUM;MIRANTE, R.;126;2045060;140350;NORTE;SANTANA/TUCURUVI
2080184;2510;ATIVO;PRIVATIVO;COMUM;LUCAS DE FREITAS AZEVEDO, R.;103;2046060;120561;NORTE;VILA MARIA/VILA GUILHERME
2080192;86;EXTINTO;PRIVATIVO;COMUM;ATALIBA LEONEL GAL., AV.;2166;2033020;24554;NORTE;VILA MARIA/VILA GUILHERME
2080222;2504;ATIVO;PRIVATIVO;COMUM;LUIZ DUMONT VILLARES, AV.;400;2085000;360619;NORTE;VILA MARIA/VILA GUILHERME
2080230;2624;EXTINTO;PRIVATIVO;COMUM;ISMAEL NERI, R.;25;2335000;94072;NORTE;SANTANA/TUCURUVI
2080249;2669;ATIVO;PRIVATIVO;COMUM;MANOEL TAVEIRA, R.;78;2245050;127671;NORTE;SANTANA/TUCURUVI
2080257;2721;ATIVO;PRIVATIVO;COMUM;PAULO MALDI, R.;72;2303050;111910;NORTE;SANTANA/TUCURUVI
2080265;2856;ATIVO;PRIVATIVO;COMUM;LUCIANO PE, R.;29;2337080;120812;NORTE;SANTANA/TUCURUVI
2080273;2951;EXTINTO;PRIVATIVO;COMUM;LUIZ DUMONT VILLARES, AV.;1290;2239000;360619;NORTE;VILA MARIA/VILA GUILHERME
2080282;3032;ATIVO;PRIVATIVO;COMUM;FRANCISCO LIPI, R.;213;2243000;74748;NORTE;SANTANA/TUCURUVI
2085011;;ATIVO;LIVRE;COMUM RADIO;ESTEFANIA LOURO, R.;178;2241080;228516;;VILA MARIA/VILA GUILHERME
2085020;;ATIVO;LIVRE;COMUM RADIO;AURELIANO LEAL, R.;43;2334090;25801;NORTE;SANTANA/TUCURUVI
2085038;;ATIVO;LIVRE;COMUM RADIO;CAETANO ALVARES ENGº, AV.;4380;2413200;38130;NORTE;SANTANA/TUCURUVI
2085046;;ATIVO;LIVRE;COMUM RADIO;FERNANDES SAMPAIO, R.;98;2041010;70521;NORTE;SANTANA/TUCURUVI
2100010;1112;ATIVO;PRIVATIVO;COMUM;CRISPIM DUARTE, R.;30;2214000;54933;NORTE;VILA MARIA/VILA GUILHERME
2100037;1597;ATIVO;PRIVATIVO;COMUM;FRANCISCO ALVES BEZERRA, R.;1090;2228001;170135;NORTE;VILA MARIA/VILA GUILHERME
2100045;1775;ATIVO;PRIVATIVO;COMUM;BENTO ARAÚJO, R.;150;2345040;663212;NORTE;SANTANA/TUCURUVI
2100053;1692;ATIVO;PRIVATIVO;COMUM;BALTAZAR DE  MORAIS, R.;31;2255010;27561;NORTE;SANTANA/TUCURUVI
2100061;1643;ATIVO;PRIVATIVO;COMUM;NOSSA SENHORA DO LORETO, AV.;237;2219000;147346;NORTE;VILA MARIA/VILA GUILHERME
2100070;1514;ATIVO;PRIVATIVO;COMUM;EDUARDO, R;430;2371010;62278;NORTE;JACANA/TREMEMBE
2100088;1777;ATIVO;PRIVATIVO;COMUM;LUIZ AUGUSTO DE OLIVEIRA, R;128;2344040;657719;NORTE;SANTANA/TUCURUVI
2100096;548;ATIVO;PRIVATIVO;COMUM;JULIO MARIA PADRE, R.;141;2307300;113387;NORTE;SANTANA/TUCURUVI
2100118;1915;ATIVO;PRIVATIVO;COMUM;ANTONIO MARIA LAET DR, AV-METRÔ TUCURUVI;129;2240000;213101;NORTE;SANTANA/TUCURUVI
2100126;2038;ATIVO;PRIVATIVO;COMUM;GAMBOAS DAS, R.;60;2311100;77496;NORTE;SANTANA/TUCURUVI
2100177;1311;ATIVO;PRIVATIVO;COMUM;ROLAND GARROS, AV.;1584;2235001;173398;NORTE;VILA MARIA/VILA GUILHERME
2100185;791;ATIVO;PRIVATIVO;COMUM;NOVA CANTAREIRA, AV.;2399;2340000;147672;NORTE;SANTANA/TUCURUVI
