idLombada;codLomb;tipo;altura;comprimento;dataPublicacaoImplantacao;codlog;logradouro;alturaNumerica;referencia;siglaSubprefeitura;nomeSubprefeitura;classificacaoViaria;declividade;larguraPista;temCalcada;larguraCalcada;volumePedestre;tipoVolumeVeiculo;tipoPavimento;condicaoPavimento;temVisibilidadePrejudicada;temEscola;nomeEscola;temColetivo;temRiscoAcidente;substituidaPor;observacao
19552;521270;II;0.10;3.50;18/03/1999 00:00;29896;PIRAJUSSARA-VALO VELHO, ES;290;NULL;CL;CAMPO LIMPO;2;6.00;10.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
19555;521273;II;0.09;3.60;18/03/1999 00:00;29896;PIRAJUSSARA-VALO VELHO, ES;999;NULL;CL;CAMPO LIMPO;2;6.00;10.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
19556;521274;II;0.09;3.50;18/03/1999 00:00;29896;PIRAJUSSARA-VALO VELHO, ES;1115;NULL;CL;CAMPO LIMPO;2;12.00;10.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
19557;521275;II;0.08;3.70;18/03/1999 00:00;29896;PIRAJUSSARA-VALO VELHO, ES;1228;NULL;CL;CAMPO LIMPO;2;7.00;10.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
8966;230449;I;0.10;2.20;26/09/1998 00:00;30023;GARABED GANANIAN, R;190;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;6.80;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
8967;230450;II;0.13;3.60;26/09/1998 00:00;30023;GARABED GANANIAN, R;336;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;6.80;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
8968;230451;II;0.10;3.30;26/09/1998 00:00;30023;GARABED GANANIAN, R;430;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;6.80;0;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
8969;230452;II;0.10;3.30;26/09/1998 00:00;30023;GARABED GANANIAN, R;66;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;6.80;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
9052;230225;I;0.10;1.50;29/09/1998 00:00;30057;ANGELO ALOISIO, R;145;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;5.20;1;NULL;NULL;0;1;1;0;1;NULL;0;0;NULL;NULL
9053;230226;I;0.10;1.50;26/09/1998 00:00;30057;ANGELO ALOISIO, R;67;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;5.20;1;NULL;NULL;0;1;1;0;1;NULL;0;0;NULL;NULL
13507;432261;I;0.08;1.50;05/04/2011 00:00;30167;JOAO TAULER, R;155;144;VP;VILA PRUDENTE / SAPOPEMBA;1;0.00;6.50;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
14652;431078;I;0.08;1.50;05/04/2011 00:00;30167;JOAO TAULER, R;241;240;VP;VILA PRUDENTE / SAPOPEMBA;1;3.00;6.50;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
14670;431098;I;0.10;1.50;18/03/1999 00:00;30169;TALES, R;136;NULL;VP;VILA PRUDENTE / SAPOPEMBA;1;5.00;7.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
14633;431060;I;0.10;1.50;18/03/1999 00:00;30169;TALES, R;207;NULL;VP;VILA PRUDENTE / SAPOPEMBA;1;4.00;7.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
14634;431061;I;0.10;1.50;18/03/1999 00:00;30169;TALES, R;320;NULL;VP;VILA PRUDENTE / SAPOPEMBA;1;3.00;7.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
14635;431062;I;0.10;1.50;18/03/1999 00:00;30169;TALES, R;517;NULL;VP;VILA PRUDENTE / SAPOPEMBA;1;4.00;7.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
27364;510428;II;0.10;3.75;26/09/1998 00:00;30176;JORGE BENCI, R PDE;193;NULL;BT;BUTANTÃ;1;2.00;10.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
2110;311278;I;0.10;1.50;29/05/1999 00:00;30223;MARCION, R;352;NULL;MP;SÃO MIGUEL;1;0.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
1937;311116;I;0.10;1.50;18/03/1999 00:00;30223;MARCION, R;19;NULL;MP;SÃO MIGUEL;1;2.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
3299;312465;I;0.10;1.50;29/05/1999 00:00;30230;NUMENIO, R;1;NULL;IT;ITAIM PAULISTA;1;0.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3300;312466;I;0.10;1.50;29/05/1999 00:00;30230;NUMENIO, R;28;NULL;IT;ITAIM PAULISTA;1;1.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
