Id Placa;Categoria;Município;Marca Veículo CET;Marca Veículo Denatran;Tipo Veículo Cet;Tipo Veículo Denatran;Cor Denatran;Ano Modelo;Tipo Registro;Espécie
167;2;6465;1686;617517;59;11;43;2005;1;27
168;1;7145;27;159922;6;6;108;2005;1;19
169;1;6685;94;2809;4;4;108;2007;1;19
170;1;6217;35;149502;6;6;51;2000;1;19
171;1;7075;27;203606;25;13;116;2004;1;35
172;1;7107;35;149517;6;6;108;2004;1;19
173;1;7135;51;152451;6;6;159;2006;1;19
174;1;7107;299;161727;6;6;116;2010;1;19
175;1;6619;35;104908;6;6;27;1992;1;0
176;1;6425;19;203407;25;13;35;1992;1;35
177;1;7107;19;115744;6;6;51;2006;1;19
178;1;6643;19;115765;6;6;108;2008;1;19
179;1;7107;35;154530;6;6;108;2005;1;19
180;1;6875;35;222802;25;13;27;1998;1;35
181;1;6779;51;153001;6;6;159;2000;1;19
182;1;2953;213;111101;6;6;108;2003;1;19
183;1;7107;35;148802;6;6;27;1998;1;19
184;1;7097;35;149010;6;6;27;1999;1;19
185;1;6877;35;148815;6;6;116;2008;1;19
186;1;6921;19;115744;6;6;116;2006;1;19
187;2;6101;1686;617514;59;11;43;2004;1;27
188;1;6921;1651;139806;6;6;159;1994;1;19
189;1;7107;51;343438;59;17;43;2004;1;51
190;1;6637;19;115765;6;6;108;2008;1;19
191;1;7099;19;154801;6;6;108;2000;1;0
192;1;7121;35;148817;6;6;108;2010;1;19
193;1;6205;35;154528;6;6;108;2006;1;19
194;1;7151;94;4747;4;4;116;2008;1;19
195;1;7057;19;154803;6;6;116;2009;1;19
196;1;7105;175;114809;6;6;108;2004;1;19
197;1;6163;35;147602;6;6;27;1995;1;0
198;1;6579;27;320004;25;14;43;1997;1;27
199;1;7107;175;114806;6;6;108;2000;1;19
200;1;6723;19;115744;6;6;108;2006;1;19
201;1;6477;19;116605;6;6;35;1991;1;19
202;1;7057;35;148804;6;6;51;1998;1;19
203;1;6545;35;210603;25;13;116;2010;1;35
204;2;7075;19;329499;25;14;51;1987;1;27
205;1;6587;1252;153712;6;6;116;2009;1;19
206;2;6945;124;309517;59;17;159;2005;1;51
207;1;7145;27;108357;6;6;116;2009;1;19
208;1;7099;35;154531;6;6;116;2005;1;19
209;1;7107;27;159930;6;6;43;2012;1;19
210;1;7027;19;203463;25;23;43;2012;1;27
211;1;6425;51;102622;6;6;159;1997;1;19
212;2;6313;60;337219;25;14;43;2008;1;27
213;1;7071;19;115765;6;6;108;2007;1;19
214;1;6219;19;115765;6;6;108;2007;1;19
215;1;6487;35;149502;6;6;159;1994;1;19
216;1;6637;35;149535;6;6;108;2006;1;19
217;1;6425;19;115744;6;6;108;2003;1;19
218;1;7107;1295;106011;6;6;116;1998;1;19
219;1;7201;35;154535;6;6;108;2007;1;19
220;1;7097;27;159915;6;6;116;2003;1;19
221;1;802;175;202949;25;23;108;2009;1;60
222;1;7107;35;132814;6;6;43;1996;1;19
223;1;7107;35;149518;6;6;27;2003;1;19
224;1;6291;256;110799;6;6;43;1991;1;19
225;1;7107;35;104407;6;6;116;1983;1;19
226;1;6291;35;104901;6;6;51;1980;1;0
227;1;7107;60;109699;6;6;51;1991;1;19
228;1;7107;19;117899;6;6;94;1974;1;19
229;1;6707;27;103201;6;6;51;1989;1;19
230;1;7107;19;117499;6;6;27;1976;1;19
231;1;7107;27;103299;6;6;19;1984;1;19
232;1;7097;35;104901;6;6;43;1988;1;0
233;1;7107;19;116604;6;6;51;1983;1;19
234;1;7107;35;104710;6;6;27;1988;1;19
235;1;7107;35;211801;6;6;43;1991;1;19
236;1;7107;35;104399;6;6;35;1979;1;19
237;1;7107;51;102404;6;6;51;1989;1;19
238;1;7107;51;102403;6;6;51;1986;1;19
239;1;7107;35;104407;6;6;159;1986;1;19
240;1;2951;35;104707;6;6;140;1991;1;19
241;1;7107;19;115710;6;6;43;1988;1;19
242;1;7107;19;116799;6;6;159;1987;1;19
243;1;6281;35;107199;6;6;116;1991;1;19
244;1;7107;19;115707;6;6;43;1984;1;19
245;1;7107;51;102401;6;6;159;1985;1;19
246;1;7107;19;117902;6;6;27;1983;1;19
247;1;6593;19;116708;6;6;35;1977;1;0
248;1;7107;19;115099;6;6;94;1982;1;19
249;1;7107;35;104399;6;6;35;1976;1;19
250;1;7107;35;104408;6;6;27;1990;1;19
251;1;7107;27;103102;6;6;43;1980;1;19
252;1;6323;19;115709;6;6;27;1990;1;19
253;1;7107;51;102606;6;6;19;1991;1;19
254;1;6611;35;104901;6;6;116;1975;1;19
255;1;6435;27;103303;6;6;108;1989;1;19
256;1;6713;35;132804;6;6;51;1991;1;0
257;1;7107;19;115099;6;6;43;1980;1;19
258;1;6291;19;115099;6;6;35;1978;1;0
259;1;7107;19;117902;6;6;43;1979;1;19
260;1;6291;27;138801;6;6;27;1991;1;19
261;1;7107;51;102105;6;6;43;1981;1;19
262;1;7107;51;102105;6;6;43;1978;1;19
263;1;6789;27;102902;6;6;35;1978;1;0
264;1;6495;19;117499;6;6;43;1973;1;19
265;1;6793;19;116603;6;6;35;1986;1;19
266;1;7057;19;116901;6;6;27;1986;1;0
267;1;7107;19;135801;6;6;159;1970;1;19
268;1;7075;19;116699;6;6;116;1983;1;0
269;1;6403;19;117902;6;6;35;1983;1;19
270;1;7107;35;104412;6;6;43;1991;1;19
271;1;7107;19;117904;6;6;43;1972;1;19
272;1;6251;19;116602;6;6;140;1986;1;0
273;1;6249;19;116602;6;6;159;1986;1;19
274;1;6251;19;115709;6;6;51;1988;1;0
275;1;7107;35;104706;6;6;116;1991;1;19
276;1;6849;35;104710;6;6;35;1988;1;19
277;1;6313;35;104709;6;6;51;1991;1;19
278;1;7107;51;102105;6;6;35;1979;1;19
279;1;7107;19;115099;6;6;35;1977;1;19
280;1;7107;27;103304;6;6;116;1991;1;19
281;1;6967;19;115099;6;6;35;1981;1;0
282;1;2969;19;135801;6;6;19;1970;1;19
283;1;7107;19;203301;25;13;43;1983;1;27
284;1;7107;19;117902;6;6;43;1969;1;19
