Codigo;Municipio
06429;FRANCO DA ROCHA               
06431;GABRIEL MONTEIRO              
06433;GALIA                         
06435;GARCA                         
06437;GASTAO VIDIGAL                
06439;GENERAL SALGADO               
06441;GETULINA                      
06443;GLICERIO                      
06445;GUAICARA                      
06447;GUAIMBE                       
06449;GUAIRA                        
06451;GUAPIACU                      
06453;GUAPIARA                      
06455;GUARA                         
06457;GUARACAI                      
06459;GUARACI                       
06461;GUARANI D'OESTE               
06463;GUARANTA                      
06465;GUARARAPES                    
06467;GUARAREMA                     
06469;GUARATINGUETA                 
06471;GUAREI                        
06473;GUARIBA                       
06475;GUARUJA                       
06477;GUARULHOS                     
06479;GUZOLANDIA                    
06481;HERCULANDIA                   
06483;IACANGA                       
06485;IACRI                         
06487;IBATE                         
06489;IBIRA                         
06491;IBIRAREMA                     
06493;IBITINGA                      
06495;IBIUNA                        
06497;ICEM                          
06499;IEPE                          
06501;IGARACU DO TIETE              
06503;IGARAPAVA                     
06505;IGARATA                       
06507;IGUAPE                        
06509;ILHABELA                      
06511;INDAIATUBA                    
06513;INDIANA                       
06515;INDIAPORA                     
06517;INUBIA PAULISTA               
06519;IPAUCU                        
06521;IPERO                         
06523;IPEUNA                        
06525;IPORANGA                      
06527;IPUA                          
06529;IRACEMAPOLIS                  
06531;IRAPUA                        
06533;IRAPURU                       
06535;ITABERA                       
06537;ITAI                          
06539;ITAJOBI                       
06541;ITAJU                         
06543;ITANHAEM                      
06545;ITAPECERICA DA SERRA          
06547;ITAPETININGA                  
06549;ITAPEVA                       
06551;ITAPEVI                       
06553;ITAPIRA                       
06555;ITAPOLIS                      
06557;ITAPORANGA                    
06559;ITAPUI                        
06561;ITAPURA                       
06563;ITAQUAQUECETUBA               
06565;ITARARE                       
06567;ITARIRI                       
06569;ITATIBA                       
06571;ITATINGA                      
06573;ITIRAPINA                     
06575;ITIRAPUA                      
06577;ITOBI                         
06579;ITU                           
06581;ITUPEVA                       
06583;ITUVERAVA                     
06585;JABORANDI                     
06587;JABOTICABAL                   
06589;JACAREI                       
06591;JACI                          
06593;JACUPIRANGA                   
06595;JAGUARIUNA                    
06597;JALES                         
06599;JAMBEIRO                      
06601;JANDIRA                       
06603;JARDINOPOLIS                  
06605;JARINU                        
06607;JAU                           
06609;JERIQUARA                     
06611;JOANOPOLIS                    
06613;JOAO RAMALHO                  
06615;JOSE BONIFACIO                
06617;JULIO MESQUITA                
06619;JUNDIAI                       
06621;JUNQUEIROPOLIS                
06623;JUQUIA                        
06625;JUQUITIBA                     
06627;LAGOINHA                      
06629;LARANJAL PAULISTA             
06631;LAVINIA                       
