Codigo;Marca
003199;H/HONDA TURUNA 125                 
003201;H/HONDA XL 125 S                   
003202;H/HONDA XL 125 DUTY                
003203;H/HONDA XLS 125                    
003204;HONDA/XLR 125                      
003205;HONDA/XLR 125 ES                   
003206;HONDA/XL 700V TRANSALP             
003299;H/HONDA XL 125                     
003301;H/HONDA XL 250 R                   
003399;H/HONDA XL 250                     
003499;H/HONDA XL 350                     
003501;H/HONDA XLX 250 R                  
003502;H/HONDA XLX 350 R                  
003503;HONDA/XRE 300                      
003505;HONDA/PCX 150                      
003506;HONDA/XRE 300 P                    
003599;H/HONDA XLX 250                    
003699;IBRAMOTO/CICLONE GARELLI           
003701;IBRAMOTO/GARELLI 3                 
003702;IBRAMOTO/GARELLI CIDADE            
003799;IBRAMOTO/GARELLI                   
003899;IBRAMOTO/KATIA                     
003999;IBRAMOTO/T  50                     
004099;IMP/AJS                            
004100;I/BENELLI CAFE 1130 RACE           
004101;I/BENELLI TRE 1130K                
004102;I/BENELLI TRE 1130K AMAZ           
004103;I/BENELLI TORN N TRE899            
004104;I/BENELLI TNT1130 CAFE R           
004105;I/BENELLI TORN N TRE899S           
004106;I/BENELLI TNT 1130 SPORT           
004108;I/BENELLI TRE 899 K                
004199;IMP/BENELLI                        
004201;IMP/BMW F650 F REGINO              
004202;IMP/BMW K1100 LTREGINO             
004203;IMP/BMW K1100 RSREGINO             
004204;IMP/BMW R1100 GSREGINO             
004205;IMP/BMW R1100 RSREGINO             
004206;IMP/BMW R1100 RREGINO              
004208;IMP/BMW R110 RT                    
004209;IMP/BMW K 1200 RS                  
004210;IMP/BMW R 1200 C                   
004211;IMP/BMW R1100 S                    
004212;IMP/BMW K1200 LT                   
004213;I/BMW R 1150 GR                    
004214;I/BMW F650 GS                      
004215;I/BMW C1 125                       
004216;I/BMW R1150 R                      
004217;I/BMW F650 GS DAKAR                
004218;I/BMW R1150 RT                     
004219;I/BMW R1150 RS                     
004220;I/BMW F650 CS                      
004221;I/BMW R1150 GS ADVENTURE           
004222;I/ BMW R1200 CL                    
004223;I/BMW R1150 RROCKSTER              
004225;I/BMW K1200 GT                     
004226;I/BMW R1200GS                      
004228;I/BMW F650 GS DAKAR MU             
004229;I/BMW F650 GS MU                   
004230;I/BMW K1200 LTMU                   
004231;I/BMW R1200 RT                     
004232;I/BMW K1200 S                      
004233;I/BMW K1200 R                      
004234;I/BMW HP2                          
004235;I/BMW R1200 GS HP2                 
004236;I/BMW R1200 GS ADVENTURE           
