id_local;local;subprefeitura;distrito;latitude;longitude
3058;DOMINGOS DE MORAIS, R x MACHADO DE ASSIS, R;VILA MARIANA;VILA MARIANA;-23,58273;-46,638193
3059;DOMINGOS DE MORAIS, R x TAMOIO, R;VILA MARIANA;VILA MARIANA;-23,579717;-46,640318
3060;VERGUEIRO, R x TAMOIO, R;VILA MARIANA;VILA MARIANA;-23,579604;-46,639601
3061;MACHADO DE ASSIS, R x PAULA NEY, R;VILA MARIANA;VILA MARIANA;-23,580456;-46,633961
3062;AVELINA, R DONA x BARTOLOMEU DE GUSMAO, R;VILA MARIANA;VILA MARIANA;-23,586217;-46,631896
3063;AVELINA, R DONA x BRIGIDA, R DONA x LUIZ GOMES CARDIM SANGIRARDI, AV ENG;VILA MARIANA;VILA MARIANA;-23,585644;-46,63013
3064;DOMINGOS DE MORAIS, R x SUD MENNUCCI, R x TEODORO DE CARVALHO, PC DR;VILA MARIANA;VILA MARIANA;-23,587074;-46,635695
3066;MACHADO DE ASSIS, R x JOSE DO PATROCINIO, R;VILA MARIANA;VILA MARIANA;-23,579735;-46,631801
3068;NOE AZEVEDO, AV PROF x TEODORO DE CARVALHO, PC DR x BALTAZAR LISBOA, R x NETO DE ARAUJO, R DR x VERGUEIRO, R;VILA MARIANA;VILA MARIANA;-23,586578;-46,635233
3069;IV CENTENARIO, AV x PEDRO DE TOLEDO, R;VILA MARIANA;MOEMA;-23,593123;-46,658286
3072;IBIRAPUERA, AV x TANGARA, R x JOAQUIM TAVORA, R x RODRIGUES ALVES, AV CONS - (*);VILA MARIANA;MOEMA;-23,58854;-46,648112
3077;FRANCA PINTO, R x TANGARA, R;VILA MARIANA;VILA MARIANA;-23,589371;-46,647488
3078;SENA MADUREIRA, R x OTONIS, R DOS;VILA MARIANA;VILA MARIANA;-23,593806;-46,644893
3079;SENA MADUREIRA, R x BOTUCATU, R;VILA MARIANA;VILA MARIANA;-23,593924;-46,642254
3080;ESTADO DE ISRAEL, R x BOTUCATU, R;VILA MARIANA;VILA MARIANA;-23,594484;-46,642306
