RUA;FROMLEFT;TOLEFT;FROMRIGHT;TORIGHT;CODLOG;BAIRRO
PR. DO PATRIARCA;77;155;78;154;156035;SE
VIAD. DA. PAULINA;177;265;176;264;156353;REPUBLICA
R. SEN. PAULO EGIDIO;1;75;2;76;157392;SE
PR. PEDRO LESSA;1;109;2;108;159387;REPUBLICA
PQ. D. PEDRO II;211;325;210;326;159840;SE
R. CDE. DO PINHAL;1;23;2;24;162493;SE
LAD. PORTO GERAL;1;99;2;98;165239;SE
AV. PRESTES MAIA;409;567;0;0;165930;REPUBLICA
AV. SEN. QUEIROS;0;0;280;314;167258;SE
R. QUINTINO BOCAIUVA;141;217;140;218;167444;SE
R. QUINZE DE NOVEMBRO;93;159;94;160;167495;SE
R. QUIRINO DE ANDRADE;1;69;2;68;167614;REPUBLICA
R. DA QUITANDA;1;139;2;140;167703;SE
PR. RAMOS DE AZEVEDO;301;495;300;496;168610;REPUBLICA
AV. RANGEL PESTANA;1;189;2;188;168700;SE
LGO. FERNANDO GALLEGO;1;23;2;24;170240;REPUBLICA
R. RIACHUELO;1;215;2;216;170259;SE
AV. RIO BRANCO;1;133;0;0;171158;REPUBLICA
R. RISKALLAH JORGE;1;155;2;154;171786;REPUBLICA
R. ROBERTO SIMONSEN;87;149;88;150;172260;SE
PR. DA SE;423;513;424;514;175455;SE
R. CAP. SALOMAO;1;125;2;126;176338;REPUBLICA
R. DO SEMINARIO;1;169;2;152;179868;REPUBLICA
R. SETE DE ABRIL;189;305;188;306;181080;REPUBLICA
R. IRMA SIMPLICIANA;1;75;2;74;183202;SE
R. STA. TERESA;1;95;2;96;188387;SE
R. DO TESOURO;1;67;2;66;188816;SE
R. BRIG. TOBIAS;339;451;340;450;190179;REPUBLICA
R. TRES DE DEZEMBRO;1;79;2;80;191353;SE
R. VARNHAGEN;1;67;2;66;194948;SE
R. VENCESLAU BRAS;81;181;82;182;195430;SE
R. VINTE E CINCO DE MARCO;629;709;628;710;197459;SE
R. VINTE E QUATRO DE MAIO;165;301;164;300;197599;REPUBLICA
AV. VINTE E TRES DE MAIO;0;0;276;342;197645;SE
R. VIRGILINA SALES;1;47;2;48;197815;SE
R. CEL. XAVIER DE TOLEDO;195;355;194;354;199966;REPUBLICA
LGO. PATEO DO COLEGIO;175;253;176;254;204188;SE
R. COM. ABDO SCHAHIN;1;77;2;78;213705;SE
VIAD. DIARIO POPULAR;1;703;2;702;230871;SE
VIAD. ANTONIO NAKASHIMA;1;53;2;52;334928;SE
VIAD. BOA VISTA;35;59;34;230;335169;SE
PTE. DO RIO TAMANDUATEI;1;45;2;46;335240;SE
VIAD. DR. EUSEBIO STEVAUX;39;59;40;60;336025;REPUBLICA
VIAD. BRIG. LUIS ANTONIO;1;3;2;4;355976;SE
VIAD. FLORENCIO DE ABREU;1;15;2;16;356042;SE
VIAD. VINTE E CINCO DE MARCO;1;93;2;92;356166;SE
R. SEROP KHERLAKIAN;1;143;2;142;422231;SE
PR. PAULO ALFEU DE MONTEIRO DUARTE;1;41;2;42;429643;SE
R. ALFREDO GAGLIOTTI;1;39;2;40;438570;REPUBLICA
PR. RAGUEB CHOHFI;45;79;46;78;443271;SE
PAS.SUB. TOM JOBIM;1;223;2;222;469777;REPUBLICA
R. NOVA BARAO;1;163;2;164;933160;REPUBLICA
TUNEL JOAO PAULO II (PAS.SUB. NORTE-SUL);311;995;312;996;L00069;REPUBLICA
TUNEL JOAO PAULO II (PAS.SUB. SUL- NORTE);1;597;2;598;L00087;REPUBLICA
AC. ESTACAO SE;0;0;0;0;L00160;SE
AV. DO EXTERIOR;775;877;776;876;L00161;SE
AC. ACESSO A;0;0;0;0;L00162;SE
AC. ACESSO A;0;0;0;0;L00164;SE
AC. RETORNO SOBRE TUNEL NORTE-SUL;343;529;344;528;L00168;SE
AC. A ESTACAO SAO BENTO;0;0;0;0;L00170;SE
AC. A ESTACAO SE;0;0;0;0;L00409;SE
AC. A ESTACAO ANHANGABAU;0;0;0;0;L00416;REPUBLICA
AC. A ESTACAO REPUBLICA;0;0;0;0;L00417;REPUBLICA
PSLA. DO PIQUES;0;0;0;0;L00449;REPUBLICA
PR. BANDEIRA;1;43;2;44;L00564;REPUBLICA
AC. ACESSO A;1;39;2;40;L01030;REPUBLICA
AC. ACESSO A;0;0;0;0;L01367;SE
EXPR. TIRADENTES;0;0;0;0;L01416;
PAS. PASSARELA MERCADO;0;0;0;0;L01493;
PR. MARIO CAMARA;1;33;2;34;N41927;REPUBLICA
AC. RETORNO SOBRE TUN TOM JOBIM;11;31;12;32;N42190;REPUBLICA
AC. RETORNO;23;29;22;30;N42191;REPUBLICA
TERM. BANDEIRA;0;0;0;0;T00003;REPUBLICA
TERM. PARQUE DOM PEDRO II;0;0;0;0;T00009;SE
TERM. MERCADO;0;0;0;0;T00022;SE
TERM. CORREIO;0;0;0;0;T00052;REPUBLICA
