CADLOG;ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS;GEOCOD
09276&&09543;D031300068;09276;09543;;;21/03/2013;0800;2;D;;03;1643;C;;01000000000000000;0100;CN3;67;0107;09276;09543;ESE6531;MO;;;;;QM;;;;
465 04541;D031300069;04541;;465;;04/03/2013;1730;4;D;;03;1879;;;10000000000000000;0100;CN3;67;0107;04541;;HJG5690;AU;;;;;AT;;;;
100 19996;D031300072;19996;;100;;20/03/2013;1217;4;D;;03;2333;B;;01000000000000000;0100;CN3;00;0108;19996;;EJQ7706;MO;;;;;AT;;;;
70 15323;D031300074;15323;;70;;26/03/2013;1745;4;D;;03;2503;;;00000001000000000;0100;CN3;05;0108;15323;;DTA8127;OU;;;;;AT;;;;
05245&&12132;D031300075;05245;12132;;;31/03/2013;1445;2;D;;03;2515;;;11000000000000000;0100;CN3;67;0108;05245;19996;DZL7356;MO;NRV1412;AU;;;CO;;;;
5 14804;D031300076;14804;;;PXTR.BANDEIRA;28/03/2013;0830;2;D;;03;2530;;;01000000000000010;0100;CN3;63;0108;14804;;ESR6974;MO;;SI;;;CO;;;;
5 19764;D031300077;19764;;;NC;11/03/2013;1400;2;D;;03;2572;;;01000000000000000;0100;SI;17;0108;19764;;EXF4207;MO;;;;;QM;;;;
05245&&12132;D031300096;05245;12132;;;26/03/2013;1729;4;D;;04;2264;;;00000001000000000;0100;CN3;67;0110;05245;19996;DTC8194;OU;;;;;AT;;;;
5 19764;D031300111;19764;;;DPVD PEDROSO;06/03/2013;0700;2;D;;05;1279;;;11000000000000000;0100;SU2;17;0112;19764;;EUX5954;AU;;MO;;;CO;;;;
5 19764;D031300115;19764;;;ACMAESTRO CARDI;08/03/2013;1200;2;D;;05;1324;;;11000000000000000;0100;SU2;17;0112;19764;;DVV9139;MO;EQN5171;AU;;;CO;;;;
5 19764;D031300125;19764;;;NC;08/03/2013;1720;2;D;;05;1850;;;11000000000000000;0100;SI;17;0114;19764;;EXD3881;MO;DRE4311;AU;;;CL;;;;
5 19764;D031300127;19764;;;NC;14/03/2013;1654;2;D;;05;2031;;;11000000000000000;0100;SI;17;0114;19764;;FAF1380;MO;EPK2732;AU;;;CO;;;;
3000 06642;D031300173;06642;;3000;;05/03/2013;0400;4;D;;08;1627;;;00010000000000000;0100;CN3;09;0119;06642;;;CA;;;;;AT;;;;
248 10101;D031300251;10101;;248;;13/03/2013;2250;4;D;;77;1457;B;;01000000000000000;0100;CN3;67;0128;10101;;EHT3665;MO;;;;;AT;;;;
5 19764;D031300418;19764;;;KM3,5;11/03/2013;1630;2;D;;36;717;C;;21000000000000000;0100;SU2;17;0220;19764;;EFW8400;AU;EUH4889;AU;DUP3082;MO;CO;;;;
5 19764;D031300420;19764;;;NC;01/03/2013;1816;2;D;;36;955;C;;01000000000000000;0100;SI;17;0220;19764;;EIE5090;MO;;;;;QM;;;;
5 19764;D031300431;19764;;;PXVD.TUTOIA;22/03/2013;1842;2;D;;36;1315;;;11000000000000000;0200;SU2;17;0221;19764;;DSS5997;AU;EXF6219;MO;;;CO;;;;
5 19764;D031300440;19764;;;PXCOMPLEXO VIAR;06/03/2013;0945;2;D;;36;1791;;;11000000000000000;0100;SU2;17;0222;19764;;EII2413;MO;EKK7945;AU;;;CO;;;;
5 19764;D031300448;19764;;;PXR.CARAVELAS;27/03/2013;0710;2;D;;36;4017;;;11000000000000000;0100;SU2;17;0222;19764;;LLK3362;MO;EMY7144;AU;;;CO;;;;
77 19759;D031300070;19759;;77;;12/03/2013;1500;2;D;;03;2108;;;10000000000000000;0100;CN3;67;0107;19759;;EUW5710;AU;;;;;CO;;;;
5 07610;D041300001;07610;;;PXBOM PRATO;04/04/2013;1730;4;D;;01;1840;;;00100000000000000;0100;CN3;80;0101;07610;;;ON;;;;;AT;;;;
583 16725;D041300003;16725;;583;;06/04/2013;0010;2;D;;01;2492;;;10000000000000000;0200;CN3;67;0101;16725;;DNE4103;AU;;;;;CP;;;;
500 13853;D041300012;13853;;500;;01/04/2013;0941;4;D;;01;2922;;;10000000000000000;0100;CN3;80;0101;13853;;CSI2818;AU;;;;;AT;;;;
5 19745;D041300014;19745;;;PXPC.FERNANDO C;11/04/2013;1151;4;D;;01;2974;;;10000000000000000;0100;CN3;80;0102;19745;;;AU;;;;;AT;;;;
523 04342;D041300015;04342;;523;;11/04/2013;1400;4;D;;01;2980;;;00000000000100000;0100;CN3;80;0102;04342;;EJZ5185;CM;;;;;AT;;;;
484 16725;D041300021;16725;;484;;13/04/2013;1730;4;D;;01;3079;;;20000000000000000;0100;CN3;67;0102;16725;;DLB4329;AU;DRO5712;AU;;;AT;;;;
270 13317;D041300022;13317;;270;;17/04/2013;1440;4;D;;01;3148;;;10000000000000000;0100;CN3;67;0102;13317;;ELQ3199;AU;;;;;AT;;;;
928 15984;D041300023;15984;;928;;18/04/2013;0612;4;D;;01;3164;;;10000000000000000;0100;CN3;80;0102;15984;;DIE4719;AU;;;;;AT;;;;
161 13317;D041300029;13317;;161;;24/04/2013;1600;4;D;;01;3378;;;10000000000000000;0100;CN3;67;0103;13317;;EMT5486;AU;;;;;AT;;;;
5 19827;D041300030;19827;;;NC;26/04/2013;1510;2;D;;01;3436;;;11000000000000000;0100;CN3;80;0103;19827;;EJP1146;MO;CRI9889;AU;;;CO;;;;
5 16593;D041300058;16593;;;NC;13/04/2013;0900;2;D;;02;3668;C;;10100000000000000;0100;CN3;67;0106;16593;;EZL1171;AU;;ON;;;CT;;;;
164 00880;D041300060;00880;;164;;05/04/2013;0920;2;D;;03;1001;;;11000000000000000;0100;CN3;67;0107;00880;;DYY6505;MO;FAM9766;AU;;;SI;;;;
5 19764;D041300061;19764;;;TN ANHANGABAU;01/04/2013;2300;2;D;;03;1834;;;11000000000000000;0100;CN3;80;0107;19764;;EFK0756;MO;FAY9359;AU;;;CO;;;;
60 19764;D041300062;19764;;60;;04/04/2013;1830;2;D;;03;1860;;;11000000000000000;0100;CN3;80;0107;19764;;FAY9356;MO;HNB4234;AU;;;CT;;;;
09276&&17115;D041300064;09276;17115;;;04/04/2013;2222;4;D;;03;1888;;;00000000000000010;0100;CN3;67;0107;09276;17115;;SI;;;;;AT;;;;
241 16593;D041300067;16593;;241;;18/04/2013;1820;2;D;;03;2207;;;21000000000000000;0100;CN3;67;0107;16593;;EGY6499;MO;EMC9070;AU;EJK5722;AU;CL;;;;
131 16861;D041300068;16861;;131;;21/04/2013;1615;4;D;;03;2286;;;00000000000000010;0100;CN3;67;0107;16861;;;SI;;;;;AT;;;;
5 00700;D041300070;00700;;;PXGARAGEM DO GA;23/04/2013;1949;4;D;;03;2339;;;10000000000000000;0100;CN3;67;0107;00700;;CDV7467;AU;;;;;AT;;;;
5 19764;D041300071;19764;;;NC;23/04/2013;2300;2;D;;03;2340;;;01010000000000000;0100;SI;SI;0108;19764;;EXA8689;MO;;CA;;;CT;;;;
100 16725;D041300072;16725;;100;;29/04/2013;2103;4;D;;03;2492;;;01000000000000000;0100;CN3;67;0108;16725;;DOB1668;MO;;;;;AT;;;;
192 12132;D041300073;12132;;192;;03/04/2013;0955;2;D;;03;2666;;;01000000000000010;0100;CN3;67;0108;12132;;DRY5617;MO;;SI;;;CT;;;;
15 04831;D041300075;04831;;15;;04/04/2013;0926;2;D;;03;2713;;;11000000000000000;0100;CN3;67;0108;04831;;EBL5683;AU;EQE8690;MO;;;CF;;;;
5 16593;D041300079;16593;;;NC;16/04/2013;1540;2;D;;03;3119;;;01000000000100000;0100;CN3;67;0108;16593;;FDI1830;MO;EYW7840;CM;;;SI;;;;
334 12132;D041300081;12132;;334;;30/04/2013;0920;4;D;;03;3510;;;00000000000100000;0100;CN3;67;0108;12132;;FES0510;CM;;;;;AT;;;;
5 14804;D041300084;14804;;;PXPONTO 14 BIS;11/04/2013;1830;2;D;;03;4008;;;00100000000000000;0100;SO1;07;0109;14804;;;ON;;;;;QD;;;;
10 05245;D041300094;05245;;10;;03/04/2013;2115;2;D;;04;2611;;;11000000000000000;0100;CN3;67;0111;05245;;CMW9373;AU;DOA5343;MO;;;CO;;;;
5 05245;D041300110;05245;;;ACLIG LESTE-OES;26/04/2013;0825;2;D;;04;3041;;;02000000000000000;0200;CN3;67;0112;05245;;FDQ0197;MO;;MO;;;CO;;;;
05245&&13632;D041300116;05245;13632;;;20/04/2013;0400;2;D;;04;3167;;;10000000000000010;0100;CN3;67;0113;05245;19996;DUP0762;AU;;SI;;;CO;;;;
5 19764;D041300145;19764;;;PXVD.PEDROSO;27/04/2013;0834;2;D;;05;3418;;;12000000000000000;0300;SU2;49;0116;19764;;FAP5320;MO;EWG5954;MO;DFG1807;AU;CO;;;;
5 02398;D041300146;02398;;;NC;27/04/2013;1846;2;D;;05;3444;;;11000000000000000;0100;CN3;80;0116;02398;;EXR6703;MO;DST4337;AU;;;CO;;;;
5 14810;D041300148;14810;;;NC;30/04/2013;1820;2;D;;05;3543;;;20000000000000000;0100;CN3;67;0116;14810;;FCB1088;AU;FEY4926;AU;;;CT;;;;
5 19764;D041300437;19764;;;SBVD BERNADINO;01/04/2013;1630;2;D;;36;1461;;;11000000000000000;0100;SU2;92;0215;03274;19764;CDQ9767;AU;DYX2063;MO;;;CT;;;;
5 19764;D041300448;19764;;;PXVD.TUTOIA;11/04/2013;0530;2;D;;36;1615;;;01000000000100000;0200;SU2;92;0215;18884;;ETO5902;CM;EOZ3152;MO;;;CO;;;;
5 19764;D041300454;19764;;;PXVD.GAL.MARCON;17/04/2013;1630;2;D;;36;1730;C;;01000000000000000;0100;SU2;53;0216;19385;;FAF2639;MO;;;;;QM;;;;
10 19764;D041300470;19764;;10;;27/04/2013;1308;2;D;;36;4393;;;32000000000100000;0100;CN3;80;0218;19764;;EUS7018;CM;CTC2835;AU;KZS8833;AU;CT;;;;
5 19764;D041300474;19764;;;PXMETRO PARAISO;17/04/2013;0715;2;D;;36;5073;;;01000000000100000;0100;SU2;92;0218;19764;;FAI5005;CM;DII7786;MO;;;CO;;;;
5 16593;D041302211;16593;;;SDTUNEL ANHANGA;05/04/2013;2325;4;D;;02;1889;B;;00100000000000000;0001;CN3;67;0004;16593;;ELW2980;ON;;;;;AT;;;;
5 19764;D041302215;19764;;;PXVD.PEDROSO;08/04/2013;2220;4;D;;78;2807;;;01000000000000000;0101;SU2;49;0004;19764;;FAY7501;MO;;;;;AT;;;;
5 14810;D041302271;14810;;;NC;27/04/2013;0635;4;D;;05;2439;;;00000000000000010;0001;CN3;67;0010;14810;;;SI;;;;;AT;;;;
09758&&01521;D051300002;09758;01521;;;10/05/2013;1645;2;D;;01;2554;;;11000000000000000;0100;CT;67;0101;01521;09758;EJQ7200;MO;CKL2421;AU;;;CO;;;;
100 19764;D051300005;19764;;100;;03/05/2013;1720;2;D;;;3420;;;11000000000000000;0100;VM;17;0101;19764;;DOB7666;MO;FMF4503;AU;;;CO;;;;
3000 06642;D051300012;06642;;3000;;09/05/2013;1015;4;D;;01;3748;;;01000000000000000;0100;CT;09;0101;06642;;EII3042;MO;;;;;AT;;;;
