CADLOG;ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS;GEOCOD
5 19764;D061300356;19764;;;FTGINASIO IBIRA;21/06/2013;0613;2;D;;36;2663;;;12000000000000000;0100;;17;0216;19764;;HIL9442;MO;EWG9530;MO;EZH7546;AU;CO;;;;
5 19764;D061300358;19764;;;AC SENA MADUR;26/06/2013;0759;2;D;;36;2739;;;01000000000100000;0100;;17;0216;19764;;EXB4840;MO;EFW0477;CM;;;CH;;;;
5 19764;D061300367;19764;;;PXSANTA GENEROS;08/06/2013;2000;4;D;;36;6098;C;;00000000000000010;0100;;17;0217;19764;;;SI;;;;;AT;;;;
5 14804;D061300528;14804;;;NC;07/06/2013;1930;2;D;;15;5843;B;;01000000000000000;0200;;63;0308;14804;;;MO;;;;;QM;;;;
611 18838;D061301982;18838;;611;;24/06/2013;1343;4;D;;53;4572;;;10000000000000000;0100;CT;01;0809;18838;;CCF7652;AU;;;;;AT;;;;
13317&&01003;D061302097;13317;01003;;;19/06/2013;1015;4;D;;01;4954;;;00100000000000000;0101;CT;67;0003;01003;13317;DJC3825;ON;;;;;AT;;;;
06642&&13853;D061302154;06642;13853;;;27/06/2013;0835;4;D;;24;6852;;;01000000000000000;0001;CT;80;0009;06642;13853;EWE3280;MO;;;;;AT;;;;
3017 06642;D071300004;06642;;3017;;01/07/2013;1717;4;D;;01;5516;;;10000000000000000;0100;CN3;80;0101;06642;;LTL4506;AU;;;;;AT;;;;
01003&&19764;D071300006;01003;19764;;;03/07/2013;1217;4;D;;01;5379;;;10000000000000000;0100;CN3;80;0101;01003;19764;DWJ2695;AU;;;;;AT;;;;
354 19764;D071300007;19764;;354;;03/07/2013;1700;2;D;;01;5397;;;11000000000100000;0100;CN3;80;0101;19764;;BYR3550;MO;EAN4176;AU;LVD4126;CM;CO;;;;
5 19764;D071300008;19764;;;NC;07/07/2013;0450;2;D;;01;5413;;;10000000000000000;0100;SI;SI;0101;19764;;DLQ3719;AU;;;;;CH;;;;
928 15984;D071300010;15984;;928;;04/07/2013;0830;4;D;;01;5431;;;10000000000000000;0100;CN3;80;0102;15984;;EQJ7649;AU;;;;;AT;;;;
446 11824;D071300012;11824;;446;;03/07/2013;1500;2;D;;01;5495;;;11000000000000000;0100;CN3;80;0102;11824;;EGZ0166;MO;EMH6654;AU;;;CO;;;;
5 16725;D071300013;16725;;;NC;10/07/2013;0852;2;D;;01;5547;;;11000000000000000;0100;CN3;67;0102;16725;;EFK6039;MO;DTE4457;AU;;;CO;;;;
172 13317;D071300015;13317;;172;;11/07/2013;2040;4;D;;01;5566;;;10000000000000000;0100;CN3;67;0102;13317;;FDI7830;AU;;;;;AT;;;;
15635&&10376;D071300017;15635;10376;;;11/07/2013;0810;2;D;;01;5591;;;11000000000000000;0100;CN3;80;0102;10376;15635;EQD4865;MO;EMF8706;AU;;;CO;;;;
19745&&08734;D071300018;19745;08734;;;14/07/2013;0751;4;D;;01;5631;;;00000001000000000;0100;CN3;80;0102;08734;19745;EZL5803;OU;;;;;AT;;;;
5 10376;D071300020;10376;;;NC;15/07/2013;1650;4;D;;01;5714;;;10000000000000000;0100;CN3;80;0102;10376;;FIH7192;AU;;;;;AT;;;;
05111&&16870;D071300025;05111;16870;;;20/07/2013;1840;4;D;;01;5858;;;10000000000000000;0100;CN3;80;0103;05111;16870;EMK5003;AU;;;;;AT;;;;
85 03189;D071300026;03189;;85;;19/07/2013;1320;4;D;;01;6860;;;01000000000000000;0100;CN3;80;0103;03189;;BPS6650;MO;;;;;AT;;;;
5 35597;D071300031;35597;;;NC;25/07/2013;0030;4;D;;01;6020;;;00100000000000000;0100;CN3;80;0103;12165;;DTD4034;ON;;;;;AT;;;;
5 10376;D071300035;10376;;;NC;30/07/2013;0703;4;D;;01;6116;;;10000000000000000;0100;CN3;80;0104;10376;;EKK7477;AU;;;;;AT;;;;
5 19764;D071300038;19764;;;NC;23/07/2013;0540;2;D;;01;7013;C;;01000000000000000;0100;SI;SI;0104;19764;;CFN7952;MO;;;;;QM;;;;
09276&&17115;D071300061;09276;17115;;;16/07/2013;2030;4;D;;03;4373;;;01000000000000000;0300;CN3;67;0107;09276;17115;FKL4779;MO;;;;;AT;;;;
895 09276;D071300063;09276;;895;;28/07/2013;0425;4;D;;03;4594;;;00000000000000010;0100;CN3;67;0107;09276;;;SI;;;;;AT;;;;
10 19996;D071300064;19996;;10;;21/07/2013;2236;2;D;;03;4676;;;00200000000000000;0100;CN3;67;0107;19996;;EZL9805;ON;;ON;;;CL;;;;
5 17986;D071300066;17986;;;NC;16/07/2013;1720;2;D;;03;5780;;;01000000000000010;0100;CN3;67;0107;17986;;EIE4413;MO;ECT6504;SI;;;CT;;;;
204 19996;D071300068;19996;;204;;23/07/2013;1235;4;D;;03;5834;;;00000000000000010;0100;CN3;67;0107;19996;;;SI;;;;;AT;;;;
16725&&16593;D071300070;16725;16593;;;21/07/2013;0730;2;D;;03;5877;C;;01000000000000000;0100;CN3;80;0108;16593;16725;DRZ3893;MO;;;;;QM;;;;
282 12132;D071300072;12132;;282;;26/07/2013;1700;2;D;;03;6620;;;00000001000000000;0100;CN3;67;0108;12132;;DTA9756;OU;;;;;QD;;;;
5 14804;D071300097;14804;;;PXR MANOEL DUTR;06/07/2013;2100;2;D;;05;5963;;;11000000000000000;0200;SO1;07;0111;14804;;FGI3997;AU;EQS0112;MO;;;CO;;;;
5 19764;D071300392;19764;;;PXVD TUTOIA;24/07/2013;1652;2;D;;36;3146;;;11000000000000000;0100;SU2;92;0217;19271;19764;DZM9441;MO;FAQ2141;AU;;;CF;;;;
5 19764;D071300402;19764;;;PXTN AYRTON SEN;13/07/2013;1857;2;D;;36;7474;;;10010000000100000;0200;SU2;53;0218;19764;;CPG2883;CA;EAM6292;AU;DTE3759;CM;CO;;;;
5 19764;D071300391;19764;;;PXPAV.C.MATARAZ;23/07/2013;1717;2;D;;36;3130;;;01000000000000000;0100;SU2;53;0216;19764;;EXL1893;MO;;;;;CT;;;;
