ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS
D111200015;17545;;421;;18/11/2012;1527;2;D;;01;8074;;;00000001000000000;0100;CT;01;0101;17545;;EZL5860;OU;;;;;QD;;;
D111200017;15635;;9;;19/11/2012;2205;4;D;;01;8116;;;10000000000000000;0300;CT;80;0102;15635;;DCE7455;AU;;;;;AT;;;
D111200022;17025;;251;;06/11/2012;1950;2;D;;01;10379;;;11000000000000000;0100;CT;01;0103;17025;;HNS1464;AU;BPS6914;MO;;;CO;;;
D111200023;16523;;100;;08/11/2012;1805;4;D;;01;10462;;;00000000000000001;0100;CT;01;0103;16523;;;CO;;;;;AT;;;
D111200025;13317;;100;;13/11/2012;1630;2;D;;01;10610;;;00000000000000010;0100;CT;17;0103;13317;;;SI;;;;;QD;;;
D111200028;06642;13853;;;17/11/2012;0550;2;D;;01;10711;;;11000000000000000;0100;CT;80;0103;06642;13853;ABG0076;AU;EHF9843;MO;;;CL;;;
D111200030;02404;;100;;04/11/2012;1400;2;D;;01;10847;;;00000000000200000;0100;CT;80;0103;02404;;OLX7498;CM;EQZ9661;CM;;;CO;;;
D111200031;15635;10376;;;23/11/2012;1615;2;D;;01;10887;;;01000000000000000;0200;;;0104;10376;15635;DOU8073;MO;;;;;QM;;;
D111200032;15635;;80;;24/11/2012;1350;2;D;;01;10916;;;11000000000000000;0100;CT;80;0104;15635;;EBG3495;AU;EXD6207;MO;;;SI;;;
D111200034;17226;19543;;;27/11/2012;1110;4;D;;01;109894;;;10000000000000000;0100;;;0104;17226;19543;EMQ985;AU;;;;;AT;;;
D111200036;35616;;;NC;29/11/2012;1735;4;D;;01;11083;;;00000001000000000;0100;;06;0104;16870;;ELQ5883;OU;;;;;AT;;;
D111200037;19745;04469;;;30/11/2012;1231;4;D;;01;11109;;;00000001000000000;0100;CT;80;0104;07024;19745;DTA3991;OU;;;;;AT;;;
D111200065;12132;05245;;;14/11/2012;0000;2;D;;03;3016;;;01000000000100000;0100;CT;67;0108;05245;19996;EFK5158;MO;EJL9684;CM;;;CO;;;
D111200067;09276;02947;;;25/11/2012;1155;2;D;;03;3227;;;01000001000000000;0100;CT;67;0108;02947;09276;EHT3540;MO;DTA7384;OU;;;CL;;;
D111200068;16861;;999;;01/11/2012;1740;2;D;;03;8813;;;00000001000000000;0100;CT;07;0108;16861;;DTA3950;OU;;;;;QD;;;
D111200069;10101;;700;;05/11/2012;0930;4;D;;03;8869;;;10000000000000000;0100;HG;67;0108;10101;;CTJ8153;AU;;;;;AT;;;
D111200071;16593;;300;;07/11/2012;0657;4;D;;03;8939;;;10000000000000000;0100;CT;09;0108;16593;;EMG6773;AU;;;;;AT;;;
D111200072;19017;16725;;;10/11/2012;1453;2;D;;03;9055;;;20000000000000000;0100;CT;67;0108;16725;19017;DNT4218;AU;EXX2105;AU;;;CL;;;
D111200074;16593;;414;;16/11/2012;0939;2;D;;03;9214;;;01000001000000000;0100;CT;09;0109;16593;;FAL4500;MO;DJC1648;OU;;;CO;;;
D111200077;09276;17115;;;16/11/2012;1525;2;D;;03;9241;;;00000001000000000;0100;CT;67;0109;09276;17115;OJC1074;OU;;;;;QD;;;
